anchor,trade_number,signal_date,entry_date,exit_date,holding_sessions,flat_sessions_before,entry_open,exit_open,gross_return,net_return,cost_drag,short_holding,rapid_reentry,causal_falling_trend,total_score,score_margin,role_confirmation_contribution,role_entry_timing_contribution,role_opportunity_contribution,role_risk_context_contribution,risk_overridden
EX12_PLATFORM_MEDOID_REPRICED_10BP,1,2021-03-08,2021-03-09,2021-03-12,3,,1.304,1.297,-0.005368098159509338,-0.00735537468666303,0.001987276527153692,True,False,False,0.28829289672521846,0.21258959440580094,-0.016065996426960445,0.07411403781663622,0.1792837980985702,0.050961057236972473,False
EX12_PLATFORM_MEDOID_REPRICED_10BP,2,2021-03-23,2021-03-24,2021-03-25,1,8.0,1.259,1.244,-0.011914217633042012,-0.013888415000408494,0.0019741973673664814,True,False,False,0.1368307918483068,0.06112748952888927,0.012871107520617136,0.04820975632976385,0.07960378033844917,-0.0038538523405233383,True
EX12_PLATFORM_MEDOID_REPRICED_10BP,3,2021-03-29,2021-03-30,2021-03-31,1,3.0,1.272,1.268,-0.0031446540880503138,-0.005136373060901311,0.0019917189728509976,True,True,False,0.1759739890225362,0.10027068670311867,0.007229202782914199,0.039339995966062705,0.13971327558656138,-0.010308485313002103,True
EX12_PLATFORM_MEDOID_REPRICED_10BP,4,2021-04-02,2021-04-06,2021-04-08,2,3.0,1.327,1.321,-0.0045214770158251705,-0.006510445093715456,0.001988968077890285,True,True,False,0.19687206196602627,0.12116875964660875,0.0788939076826672,-0.041781788819128675,0.14280500764496884,0.016954935457518916,False
EX12_PLATFORM_MEDOID_REPRICED_10BP,5,2021-04-09,2021-04-12,2021-04-14,2,2.0,1.295,1.271,-0.018532818532818518,-0.020493791922363225,0.001960973389544707,True,True,False,0.08957871108755862,0.013875408768141098,0.04331719288368954,0.05578818393463203,-0.030850482203251026,0.02132381647248806,False
EX12_PLATFORM_MEDOID_REPRICED_10BP,6,2021-04-26,2021-04-27,2021-04-29,2,9.0,1.34,1.351,0.008208955223880432,0.006194551716939722,0.0020144035069407096,True,False,False,0.21159007052809803,0.1358867682086805,-0.011865070622876152,0.05672194360899892,0.16425683389339607,0.0024763636485791857,False
EX12_PLATFORM_MEDOID_REPRICED_10BP,7,2021-05-07,2021-05-10,2021-05-12,2,4.0,1.295,1.28,-0.01158301158301156,-0.013557870700727559,0.001974859117715999,True,False,True,0.14957815793206225,0.07387485561264473,-0.05817554834071143,0.07315330028938354,0.09723070257308938,0.037369703410300756,False
EX12_PLATFORM_MEDOID_REPRICED_10BP,8,2021-05-17,2021-05-18,2021-05-19,1,4.0,1.356,1.345,-0.008112094395280378,-0.010093888412472496,0.001981794017192118,True,False,False,0.14880326954791495,0.07309996722849743,-0.05149374723099472,0.015717287330079748,0.18625455888887538,-0.001674829440045475,True
EX12_PLATFORM_MEDOID_REPRICED_10BP,9,2021-05-21,2021-05-24,2021-05-25,1,3.0,1.339,1.357,0.01344286781179993,0.011418006937051084,0.002024860874748846,True,True,False,0.1328756471464914,0.05717234482707387,-0.03276084434850941,0.06010567022931596,0.10658083128752635,-0.0010500100218415178,True
EX12_PLATFORM_MEDOID_REPRICED_10BP,10,2021-05-25,2021-05-26,2021-06-10,11,1.0,1.396,1.457,0.04369627507163343,0.04161096782873308,0.002085307242900347,False,True,False,0.1134247475608158,0.03772144524139828,0.017333537117371654,-0.055545682105586504,0.13221373720288848,0.01942315534614218,False
EX12_PLATFORM_MEDOID_REPRICED_10BP,11,2021-06-11,2021-06-15,2021-06-18,3,2.0,1.469,1.505,0.02450646698434289,0.022459501016342198,0.0020469659680006913,True,True,False,0.17869561657200927,0.10299231425259175,0.029738181190962738,0.023650069142903022,0.11144137612681354,0.013865990111329989,False
EX12_PLATFORM_MEDOID_REPRICED_10BP,12,2021-06-22,2021-06-23,2021-07-01,6,3.0,1.556,1.627,0.045629820051413805,0.04354064958178072,0.0020891704696330837,False,True,False,0.18206906947942567,0.10636576716000815,0.08562336365787418,-0.0033913789625916175,0.11002017034955054,-0.010183085565407434,True
EX12_PLATFORM_MEDOID_REPRICED_10BP,13,2021-07-01,2021-07-02,2021-07-08,4,1.0,1.604,1.602,-0.0012468827930174342,-0.003242393516707631,0.001995510723690197,False,True,False,0.10884723414751683,0.03314393182809931,0.01855661751695733,0.037025878556294314,0.054679515010666604,-0.0014147769364014177,True
EX12_PLATFORM_MEDOID_REPRICED_10BP,14,2021-07-08,2021-07-09,2021-07-12,1,1.0,1.632,1.635,0.0018382352941177516,-0.00016343950167463372,0.0020016747957923853,True,True,False,0.088188071643677,0.012484769324259473,0.011817492605953828,-0.039821352980107964,0.09625407589646524,0.01993785612136589,False
EX12_PLATFORM_MEDOID_REPRICED_10BP,15,2021-07-12,2021-07-13,2021-07-16,3,1.0,1.631,1.607,-0.014714898835070489,-0.01668350043579947,0.001968601600728981,True,True,False,0.12509465639759204,0.04939135407817452,-0.013256279546639632,-0.02351356080730185,0.17937710485231423,-0.017512608100780702,True
EX12_PLATFORM_MEDOID_REPRICED_10BP,16,2021-07-21,2021-07-22,2021-08-06,11,4.0,1.6,1.657,0.03562500000000002,0.03355581918081918,0.002069180819180838,False,False,False,0.13068150182500418,0.05497819950558666,-0.03606127359970941,-0.037697854573649936,0.1921936319122051,0.01224699808615841,False
EX12_PLATFORM_MEDOID_REPRICED_10BP,17,2021-08-06,2021-08-09,2021-08-10,1,1.0,1.61,1.604,-0.003726708074534124,-0.005717264102357178,0.001990556027823054,True,True,False,0.19378207432677622,0.1180787720073587,0.03831050747090922,0.05972569185430305,0.04246896479490475,0.05327691020665919,False
EX12_PLATFORM_MEDOID_REPRICED_10BP,18,2021-08-17,2021-08-18,2021-08-19,1,6.0,1.552,1.556,0.002577319587628857,0.0005741680999415966,0.0020031514876872603,True,False,False,0.1863464552787048,0.11064315295928728,0.043779771705321324,0.07146884929587799,0.024671409423411207,0.04642642485409429,False
EX12_PLATFORM_MEDOID_REPRICED_10BP,19,2021-08-30,2021-08-31,2021-09-02,2,8.0,1.5,1.463,-0.024666666666666615,-0.026615384615384485,0.0019487179487178707,True,False,False,0.2013486656893081,0.12564536336989057,-0.031720232251654705,0.06133972384513525,0.12618347445656913,0.04554569963925842,False
EX12_PLATFORM_MEDOID_REPRICED_10BP,20,2021-09-16,2021-09-17,2021-09-22,1,11.0,1.39,1.383,-0.005035971223021463,-0.007023911340457767,0.0019879401174363043,True,False,False,0.15253009255447866,0.07682679023506114,0.039272002486796534,0.04584208804606594,0.06121442174245629,0.006201580279159909,False
EX12_PLATFORM_MEDOID_REPRICED_10BP,21,2021-10-26,2021-10-27,2021-10-29,2,20.0,1.411,1.396,-0.010630758327427436,-0.012607520049050858,0.0019767617216234212,True,False,True,0.1555894606307392,0.07988615831132168,0.007515356261770308,0.023374427311400655,0.12355119371685033,0.001148483340717897,False
EX12_PLATFORM_MEDOID_REPRICED_10BP,22,2021-10-29,2021-11-01,2021-11-10,7,1.0,1.433,1.456,0.016050244242847178,0.014020173824779603,0.0020300704180675755,False,True,True,0.1455987630430152,0.06989546072359767,0.05313172217875853,-0.06637510987795463,0.1677705137479656,-0.008928363005754319,True
EX12_PLATFORM_MEDOID_REPRICED_10BP,23,2021-11-15,2021-11-16,2021-11-30,10,4.0,1.466,1.514,0.032742155525238736,0.03067873463507853,0.002063420890160206,False,False,False,0.2039336482317458,0.1282303459123283,0.05276458809136766,0.041436484779301154,0.12528005711646992,-0.015547481755392922,True
EX12_PLATFORM_MEDOID_REPRICED_10BP,24,2021-11-30,2021-12-01,2021-12-02,1,1.0,1.508,1.494,-0.009283819628647216,-0.011263272536482072,0.0019794529078348555,True,True,False,0.10033187324678933,0.024628570927371807,-0.0002984284914750064,0.01139503331430782,0.11622644968547614,-0.02699118126151963,True
EX12_PLATFORM_MEDOID_REPRICED_10BP,25,2021-12-07,2021-12-08,2021-12-09,1,4.0,1.438,1.45,0.008344923504867818,0.006330248333030086,0.002014675171837732,True,False,True,0.07587717648166925,0.00017387416225173036,0.031258881683327494,-0.039165151539546875,0.06139776957245001,0.02238567676543863,False
EX12_PLATFORM_MEDOID_REPRICED_10BP,26,2021-12-13,2021-12-14,2021-12-15,1,3.0,1.471,1.477,0.004078857919782575,0.00207270635550727,0.0020061515642753047,True,True,False,0.10654512127355491,0.030841818954137387,-0.000977520723769448,-0.00862506160617186,0.16723173091958027,-0.05108402731608408,True
EX12_PLATFORM_MEDOID_REPRICED_10BP,27,2021-12-16,2021-12-17,2021-12-21,2,2.0,1.464,1.407,-0.03893442622950816,-0.040854637166112484,0.0019202109366043274,True,True,False,0.16231218383074028,0.08660888151132276,0.053885369851388545,-0.008186087151083208,0.13867895848264572,-0.022066057352210757,True
EX12_PLATFORM_MEDOID_REPRICED_10BP,28,2021-12-22,2021-12-23,2021-12-24,1,2.0,1.414,1.415,0.0007072135785006761,-0.001292201433643947,0.001999415012144623,True,True,True,0.15890754667113707,0.08320424435171955,-0.035400740768160306,0.04345563552066541,0.15365943922395026,-0.0028067873053183104,True
EX12_PLATFORM_MEDOID_REPRICED_10BP,29,2022-01-04,2022-01-05,2022-01-07,2,7.0,1.401,1.366,-0.024982155603140543,-0.026930243204332904,0.001948087601192361,True,False,False,0.1954222831635849,0.11971898084416738,0.004433979573500415,0.043898898833808805,0.1362239806808834,0.010865424075392247,False
EX12_PLATFORM_MEDOID_REPRICED_10BP,30,2022-01-18,2022-01-19,2022-01-20,1,8.0,1.379,1.36,-0.01377810007251623,-0.015748573399044563,0.0019704733265283325,True,False,True,0.10833782910067444,0.03263452678125692,0.020346578679503225,0.03888781210438382,0.024168272333071113,0.024935165983716274,False
EX12_PLATFORM_MEDOID_REPRICED_10BP,31,2022-01-25,2022-01-26,2022-01-27,1,4.0,1.314,1.303,-0.008371385083713934,-0.010352661037592581,0.0019812759538786473,True,False,True,0.142019308251713,0.06631600593229547,0.027014404111980445,0.07144505014526331,0.026643562912860182,0.016916291081609042,False
EX12_PLATFORM_MEDOID_REPRICED_10BP,32,2022-02-10,2022-02-11,2022-02-14,1,6.0,1.217,1.2,-0.013968775677896561,-0.015938868034184428,0.001970092356287867,True,False,True,0.1147757516138681,0.039072449294450584,-0.030582603473588592,0.04250528299781488,0.09345197912746597,0.009401092962175839,False
EX12_PLATFORM_MEDOID_REPRICED_10BP,33,2022-02-24,2022-02-25,2022-03-03,4,9.0,1.261,1.27,0.00713719270420321,0.005124930580918008,0.0020122621232852023,False,False,True,0.08736891669974339,0.011665614380325873,0.08712181673599784,0.06179846109611383,-0.060232934166574104,-0.0013184269657941644,True
EX12_PLATFORM_MEDOID_REPRICED_10BP,34,2022-03-03,2022-03-04,2022-03-09,3,1.0,1.239,1.176,-0.05084745762711873,-0.05274386630318839,0.0018964086760696608,True,True,True,0.23172920930344423,0.1560259069840267,0.034226209289756115,0.0642101083584012,0.09202120176376473,0.04127168989152219,False
EX12_PLATFORM_MEDOID_REPRICED_10BP,35,2022-03-10,2022-03-11,2022-03-14,1,2.0,1.172,1.187,0.012798634812286824,0.010775061116358176,0.0020235736959286488,True,True,True,0.1463551205774649,0.07065181825804737,-0.02871064592333587,0.03768198847324014,0.17738786652326077,-0.040004088495700155,True
EX12_PLATFORM_MEDOID_REPRICED_10BP,36,2022-03-16,2022-03-17,2022-03-23,4,3.0,1.171,1.172,0.0008539709649870719,-0.001145737268708924,0.001999708233695996,False,True,True,0.17033633238576804,0.09463303006635052,0.00705323892046527,-0.0756654328542662,0.20649105872430823,0.03245746759526071,False
EX12_PLATFORM_MEDOID_REPRICED_10BP,37,2022-03-25,2022-03-28,2022-04-01,4,3.0,1.13,1.114,-0.014159292035398008,-0.016129003739623005,0.0019697117042249968,False,True,True,0.22663703833344057,0.15093373601402305,0.04506461748693642,0.07445960922312252,0.08375563758564192,0.02335717403773971,False
EX12_PLATFORM_MEDOID_REPRICED_10BP,38,2022-04-20,2022-04-21,2022-04-25,2,12.0,0.998,0.959,-0.039078156312625234,-0.0409980800762364,0.0019199237636111643,True,False,True,0.22220679608212937,0.14650349376271185,0.045761565224106474,0.06662175562068857,0.14170494222255625,-0.03188146698522194,True
EX12_PLATFORM_MEDOID_REPRICED_10BP,39,2022-04-26,2022-04-27,2022-04-28,1,2.0,0.884,0.922,0.042986425339366585,0.04090253637764962,0.002083888961716962,True,True,True,0.21686046336466588,0.14115716104524836,-0.035343417191056076,0.07445960922312252,0.13615352918362128,0.04159074214897814,False
EX12_PLATFORM_MEDOID_REPRICED_10BP,40,2022-04-29,2022-05-05,2022-05-09,2,2.0,0.972,0.966,-0.006172839506172867,-0.008158508158508049,0.001985668652335182,True,True,True,0.16235606721252566,0.08665276489310814,-0.008181734385365208,-0.07506252103869436,0.2013400789379363,0.04426024369864895,False
EX12_PLATFORM_MEDOID_REPRICED_10BP,41,2022-05-11,2022-05-12,2022-05-13,1,3.0,1.021,1.047,0.025465230166503483,0.023416348587749214,0.002048881578754269,True,True,True,0.20544915827052868,0.12974585595111116,0.03002373809600599,0.04913731296910514,0.0872643989081151,0.03902370829730241,False
EX12_PLATFORM_MEDOID_REPRICED_10BP,42,2022-05-16,2022-05-17,2022-05-18,1,2.0,1.021,1.04,0.018609206660137323,0.016574023430047102,0.0020351832300902206,True,True,True,0.26098234576302426,0.18527904344360674,0.07931181903603753,0.06481302017397304,0.09028862790981168,0.02656887864320203,False
