anchor,feature,observations,durable_trades,auc,direction,directional_auc,top_tertile_durable_rate,bottom_tertile_durable_rate,top_minus_bottom_durable_rate,permutation_pvalue,leave_one_year_out_direction_matches,leave_one_year_out_years,leave_one_year_out_direction_rate,fdr_qvalue
EX12_PLATFORM_MEDOID_REPRICED_10BP,score_margin,160,44,0.5474137931034483,HIGHER,0.5474137931034483,0.35185185185185186,0.25925925925925924,0.09259259259259262,0.36732653469306137,5,6,0.8333333333333334,0.7346530693861227
EX12_PLATFORM_MEDOID_REPRICED_10BP,score_change_1d,160,44,0.49764890282131663,LOWER,0.5023510971786833,0.2777777777777778,0.24074074074074073,0.03703703703703706,0.9652069586082783,3,6,0.5,0.9652069586082783
EX12_PLATFORM_MEDOID_REPRICED_10BP,score_change_3d,159,44,0.475098814229249,LOWER,0.5249011857707511,0.3018867924528302,0.24528301886792453,0.05660377358490565,0.6386722655468906,5,6,0.8333333333333334,0.7980118262061874
EX12_PLATFORM_MEDOID_REPRICED_10BP,score_above_exit_count_3d,160,44,0.5461402821316614,HIGHER,0.5461402821316614,0.30303030303030304,0.22950819672131148,0.07352210630899156,0.3241351729654069,6,6,1.0,0.7346530693861227
EX12_PLATFORM_MEDOID_REPRICED_10BP,role_agreement_count,160,44,0.47492163009404387,LOWER,0.5250783699059561,0.29508196721311475,0.27586206896551724,0.01921989824759751,0.5966806638672265,5,6,0.8333333333333334,0.7980118262061874
EX12_PLATFORM_MEDOID_REPRICED_10BP,persistent_role_agreement_count_2d,160,44,0.4553291536050157,LOWER,0.5446708463949843,0.3010752688172043,0.23880597014925373,0.062269298667950584,0.3499300139972006,6,6,1.0,0.7346530693861227
EX12_PLATFORM_MEDOID_REPRICED_10BP,maximum_positive_role_share,160,44,0.48040752351097177,LOWER,0.5195924764890283,0.3333333333333333,0.25925925925925924,0.07407407407407407,0.6982603479304139,4,6,0.6666666666666666,0.7980118262061874
EX12_PLATFORM_MEDOID_REPRICED_10BP,confirmation_role_contribution,160,44,0.6911246081504702,HIGHER,0.6911246081504702,0.4444444444444444,0.14814814814814814,0.2962962962962963,0.0001999600079984003,6,6,1.0,0.0015996800639872025
EX14_UNIQUE_FEASIBLE_10BP,score_margin,164,47,0.5060920167303146,HIGHER,0.5060920167303146,0.2909090909090909,0.2909090909090909,0.0,0.9074185162967406,4,6,0.6666666666666666,0.9508098380323935
EX14_UNIQUE_FEASIBLE_10BP,score_change_1d,164,47,0.4629932715039098,LOWER,0.5370067284960902,0.3090909090909091,0.23636363636363636,0.07272727272727272,0.46550689862027594,5,6,0.8333333333333334,0.9130973805238952
EX14_UNIQUE_FEASIBLE_10BP,score_change_3d,163,47,0.4708363903154806,LOWER,0.5291636096845194,0.32727272727272727,0.2909090909090909,0.036363636363636376,0.5706858628274345,5,6,0.8333333333333334,0.9130973805238952
EX14_UNIQUE_FEASIBLE_10BP,score_above_exit_count_3d,164,47,0.5264593562465902,HIGHER,0.5264593562465902,0.3069306930693069,0.25396825396825395,0.05296243910105297,0.5498900219956009,6,6,1.0,0.9130973805238952
EX14_UNIQUE_FEASIBLE_10BP,role_agreement_count,164,47,0.4653573376977632,LOWER,0.5346426623022368,0.296875,0.2689075630252101,0.027967436974789928,0.4559088182363527,6,6,1.0,0.9130973805238952
EX14_UNIQUE_FEASIBLE_10BP,persistent_role_agreement_count_2d,164,47,0.5135479178032369,HIGHER,0.5135479178032369,0.3088235294117647,0.2708333333333333,0.037990196078431404,0.772245550889822,4,6,0.6666666666666666,0.9508098380323935
EX14_UNIQUE_FEASIBLE_10BP,maximum_positive_role_share,164,47,0.5032733224222586,HIGHER,0.5032733224222586,0.2909090909090909,0.23636363636363636,0.054545454545454536,0.9508098380323935,2,6,0.3333333333333333,0.9508098380323935
EX14_UNIQUE_FEASIBLE_10BP,confirmation_role_contribution,164,47,0.6409347154028006,HIGHER,0.6409347154028006,0.41818181818181815,0.14545454545454545,0.2727272727272727,0.004599080183963208,6,6,1.0,0.03679264147170566
