trial_id,behavior_hash,nearest_points,neighborhood_radius,local_feasible_rate,local_feasible_points
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02955,8f5f4891bea51cf90f9365b086d2d7d2e98453ebd98cf90fcad9684a44af8586,20,0.23188595387454525,0.6,12
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02855,0b69fd132db25814770d42a16554a26c207fd4618cc4a8f4b83b691c7407fb54,20,0.19017615895282902,0.75,15
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02736,b9781bb8ebc4902a0427ad2b8d94cfca1c98f9d305d71c77c4780d656f185e0b,20,0.23188595387454525,0.6,12
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02768,883155a2085031e890d007896cf1d9722a717f81018909d47a204cdb7733198b,20,0.07623547535466502,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02981,39ea76807620f52af7cab0dd10c56a1f8299e12bf1ca228cc08c035a6469538c,20,0.07018744194903992,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02690,85c18abd24b8ede079bd87c63f7da868346562f18608ad85b7d96e80df49d2aa,20,0.07018744194903992,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02787,7ff3726b76ef436078c86cd56a0e6d6cf5bb3f8307436d18e889821e889b228d,20,0.23188595387454525,0.6,12
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02812,cef4a7df50927927980f21b36478ba12aee8c1b2485e744eeaf30a0010d9edb1,20,0.03203970476294282,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02556,55b9313dafeafa308c01a57c820ec24c7dee7c5a42943a92ddb471538d481924,20,0.042357413768844665,0.95,19
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02155,41dd82cc5d93492798db3184028931257b50abeb70ca3359ae1bdb737d3376bd,20,0.03203970476294282,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02715,41dd82cc5d93492798db3184028931257b50abeb70ca3359ae1bdb737d3376bd,20,0.03203970476294282,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02991,9bf7665906b37ad6abbbfc9ab0d629444f45935bdb2132ecd5dd237daa3bfb39,20,0.09618732398590679,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02915,5e1de76a0331fee7359a79416cd6655f73ac0da3ebecdb80ea576ac4c0e6c07f,20,0.03271286596984524,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02431,9c6a1e76ac334bcb574621df3cfe2a2e7e5c16dea9e98c004ffcc14a174d1313,20,0.042357413768844665,0.95,19
