source,rows,counted_trials,basis
experiments/S007/20260915_S007_EX09/artifacts/search_trial_ledger.csv.gz,1200,1200,ALL_SEARCH_PROPOSALS_CONSERVATIVE_UPPER_BOUND
experiments/S007/20260915_S007_EX14/artifacts/search_trial_ledger.csv.gz,1200,1200,ALL_SEARCH_PROPOSALS_CONSERVATIVE_UPPER_BOUND
experiments/S007/20260915_S007_EX20/artifacts/search_trial_ledger.csv,21,21,ALL_SEARCH_PROPOSALS_CONSERVATIVE_UPPER_BOUND
experiments/S007/20260915_S007_EX22/artifacts/search_trial_ledger.csv.gz,3000,3000,ALL_SEARCH_PROPOSALS_CONSERVATIVE_UPPER_BOUND
experiments/S007/20260915_S007_EX24/artifacts/search_trial_ledger.csv.gz,3000,3000,ALL_SEARCH_PROPOSALS_CONSERVATIVE_UPPER_BOUND
experiments/S007/20260915_S007_EX26/artifacts/search_trial_ledger.csv.gz,3000,3000,ALL_SEARCH_PROPOSALS_CONSERVATIVE_UPPER_BOUND
experiments/S007/20260915_S007_EX27/artifacts/search_trial_ledger.csv.gz,3000,3000,ALL_SEARCH_PROPOSALS_CONSERVATIVE_UPPER_BOUND
experiments/S007/20260915_S007_EX12/artifacts/single_factor_ablations.csv,7,7,RETURN_EVALUATIONS
experiments/S007/20260915_S007_EX16/artifacts/local_perturbations.csv,401,389,COMPLETED_RETURN_EVALUATIONS
experiments/S007/20260915_S007_EX25/artifacts/paired_ablation_results.csv,669,669,RETURN_EVALUATIONS
