decision_id,signal_date,valid_session,target_position,factor_score,confirmation_score,regime
DEC-929ABED83A86365269F3,2021-01-04,2021-01-05,0,,,
DEC-700A64F5CBA3F93FD72F,2021-01-05,2021-01-06,0,,,
DEC-7DE628A5C03A3F1752A0,2021-01-06,2021-01-07,0,,,
DEC-DAE383974E858FE2D404,2021-01-07,2021-01-08,0,,,
DEC-BC2F6562EB954A6E7FC3,2021-01-08,2021-01-11,0,,,
DEC-B7CC8E0F5BFD6691A32E,2021-01-11,2021-01-12,0,,,
DEC-2AEC78B04E89B8CA083F,2021-01-12,2021-01-13,0,,,
DEC-D205D7993C655DEBDC9C,2021-01-13,2021-01-14,0,,,
DEC-3D11089A53436C3AC35C,2021-01-14,2021-01-15,0,,,
DEC-78DFC2F40CBD6C5ADAF5,2021-01-15,2021-01-18,0,,,
DEC-D0B8D036833BADDE2E00,2021-01-18,2021-01-19,0,,,
DEC-E57B4DE95C66C23790D2,2021-01-19,2021-01-20,0,,,
DEC-3A9E3CD3ABC54228A3FD,2021-01-20,2021-01-21,0,,,
DEC-B822AB253F8C9A075B5C,2021-01-21,2021-01-22,0,,,
DEC-6D13D66B49D3A62A6DB8,2021-01-22,2021-01-25,0,,,
DEC-85F66119CE080C59EF88,2021-01-25,2021-01-26,0,,,
DEC-7B7B6B0E5BF706846E63,2021-01-26,2021-01-27,0,,,
DEC-233C4F7804B6E8B4E1DB,2021-01-27,2021-01-28,0,,,
DEC-91228AD37E52B24DC388,2021-01-28,2021-01-29,0,,,
DEC-1EEC2BA7BC7C208EAB97,2021-01-29,2021-02-01,0,,,
DEC-4A29DC4EB790D34CB7A9,2021-02-01,2021-02-02,0,,,
DEC-1AF186319C6C87B91E8F,2021-02-02,2021-02-03,0,,,
DEC-7AB86A02EAE6B0D2BC71,2021-02-03,2021-02-04,0,,,
DEC-0BDBC3F4C0C62BB8DBF3,2021-02-04,2021-02-05,0,,,
DEC-B338FE12FB34E7BD2105,2021-02-05,2021-02-08,0,,,
