order_id,decision_id,cycle_id,signal_date,execution_date,side,quantity,order_type,limit_price,status
ORD-7FA409CC9166D2D8B0F5,DEC-EB16019B6330A8AF3963,CYC-BC25D85C0E0BF909F39C,2021-03-08,2021-03-09,BUY,63900,LIMIT,1.563,FILLED
ORD-58AB75F89A744D7A3299,DEC-C15B0E0A313C22732484,CYC-BC25D85C0E0BF909F39C,2021-03-11,2021-03-12,SELL,63900,MARKET,1.295,FILLED
ORD-5E114E5B2A4E574C2E6E,DEC-06A993B8263705BB3507,CYC-6519598E05B0CF6AD11E,2021-03-23,2021-03-24,BUY,65500,LIMIT,1.514,FILLED
ORD-274A638DD3725A514310,DEC-8718678636B84DFAF8FA,CYC-6519598E05B0CF6AD11E,2021-03-25,2021-03-26,SELL,65500,MARKET,1.247,FILLED
ORD-1C6D46A2ECC29E5A21DE,DEC-93439726868049BC7E84,CYC-60D4E030B79972A8E7C3,2021-04-02,2021-04-06,BUY,62100,LIMIT,1.587,FILLED
ORD-1FA9224DB27B88FE9C68,DEC-B5787668A6C1FB0F8904,CYC-60D4E030B79972A8E7C3,2021-04-06,2021-04-07,SELL,62100,MARKET,1.324,FILLED
ORD-5B20DED17B47D3F6A0BB,DEC-95D1FCEF5318089815D2,CYC-03B681EF1D77A5269296,2021-04-12,2021-04-13,BUY,64400,LIMIT,1.521,FILLED
ORD-88DE434DAA40B7A3F901,DEC-BEBBAFD00F9DF15AA48C,CYC-03B681EF1D77A5269296,2021-04-14,2021-04-15,SELL,64400,MARKET,1.28,FILLED
ORD-B8CB6B0F2170DDACCBAD,DEC-08F32FEF6CB25EE1910C,CYC-98BCC19F4E942546A24B,2021-04-20,2021-04-21,BUY,62400,LIMIT,1.578,FILLED
ORD-4C4A40884E47ED23E48B,DEC-F7A7960E167EB5407D5F,CYC-98BCC19F4E942546A24B,2021-04-21,2021-04-22,SELL,62400,MARKET,1.312,FILLED
ORD-DFBB10A4099CE30A986E,DEC-6F231A2EC888C549B5AF,CYC-9B71D0C6107B2A3200A3,2021-04-26,2021-04-27,BUY,61200,LIMIT,1.607,FILLED
ORD-0F32AEFE90CE2825963C,DEC-0887376FCA751D7C0517,CYC-9B71D0C6107B2A3200A3,2021-04-30,2021-05-06,SELL,61200,MARKET,1.349,FILLED
ORD-1DB80128843B5E334777,DEC-1DB30301C51D4518FD11,CYC-C54F14FCC3A7DA29D988,2021-05-07,2021-05-10,BUY,63500,LIMIT,1.552,FILLED
ORD-79659196F1750E48E187,DEC-816B358170AE2A40C7D6,CYC-C54F14FCC3A7DA29D988,2021-05-11,2021-05-12,SELL,63500,MARKET,1.284,FILLED
ORD-5C507121EFEEFB1DC6C7,DEC-6F2DFA477BF43C49BA2D,CYC-3DA4227C2439BC1BC782,2021-05-17,2021-05-18,BUY,60000,LIMIT,1.622,FILLED
ORD-2439461B0AB4BFDFAF3B,DEC-42CF907EE96ECD27F427,CYC-3DA4227C2439BC1BC782,2021-05-18,2021-05-19,SELL,60000,MARKET,1.345,FILLED
ORD-1915AF690FE692BA5A56,DEC-4C8189CEF1014A0CFC66,CYC-DF5E2049863571C4A0BC,2021-05-26,2021-05-27,BUY,57900,LIMIT,1.667,FILLED
ORD-312EFE96ECED80795BC4,DEC-5A5FE2FC17375B15D022,CYC-DF5E2049863571C4A0BC,2021-05-31,2021-06-01,SELL,57900,MARKET,1.469,FILLED
ORD-819451358D6679973A40,DEC-3BB93E4728BEF1BFAFD6,CYC-68101A6CFE18C629C27E,2021-06-02,2021-06-03,BUY,58200,LIMIT,1.742,FILLED
ORD-865B237AD88B60564A7A,DEC-D11974D2159FF6B500E3,CYC-68101A6CFE18C629C27E,2021-06-04,2021-06-07,SELL,58200,MARKET,1.46,FILLED
ORD-23807B84DABE60F1A0DF,DEC-E6B6FE2C2048C8958306,CYC-BBFDF9C5C7FB045CD4F4,2021-06-07,2021-06-08,BUY,58200,LIMIT,1.754,FILLED
ORD-B298952B467ECE494C38,DEC-453333F44DBE2AB484B8,CYC-BBFDF9C5C7FB045CD4F4,2021-06-09,2021-06-10,SELL,58200,MARKET,1.458,FILLED
ORD-BE44D1A6628E8A7AF5FD,DEC-D0F20FC1B5EAB22CBA52,CYC-E4431D5486408EA7A1F5,2021-06-11,2021-06-15,BUY,57600,LIMIT,1.763,FILLED
ORD-610C935542A5E10387E1,DEC-7F99FCDBAE465E474610,CYC-E4431D5486408EA7A1F5,2021-06-17,2021-06-18,SELL,57600,MARKET,1.505,FILLED
ORD-D4973184228E6F9070BD,DEC-37931225A9C628743E0C,CYC-2C0073DFCF2C0EDF9BD2,2021-06-23,2021-06-24,BUY,55100,LIMIT,1.877,FILLED
ORD-31EDE920B9BAF62C5112,DEC-61909E2A6D625A308662,CYC-2C0073DFCF2C0EDF9BD2,2021-06-25,2021-06-28,SELL,55100,MARKET,1.573,FILLED
ORD-F6097CFD0A43E236C959,DEC-1501B2DE10164FAADFC9,CYC-B18250DADA0CCBD13AF4,2021-06-28,2021-06-29,BUY,54400,LIMIT,1.915,FILLED
ORD-81D1C18C80E801FAF529,DEC-145ED536487DB657F941,CYC-B18250DADA0CCBD13AF4,2021-06-30,2021-07-01,SELL,54400,MARKET,1.626,FILLED
ORD-66BA39A980E1BC50E81D,DEC-D3E41395D58705CA1841,CYC-3094728F2B732F4EF45E,2021-07-01,2021-07-02,BUY,54700,LIMIT,1.934,FILLED
ORD-7D2C7E5872F92972F5B8,DEC-6104BDA73FFADA1FCC8C,CYC-3094728F2B732F4EF45E,2021-07-05,2021-07-06,SELL,54700,MARKET,1.613,FILLED
ORD-BEB1EE539EFDA03E5473,DEC-26ECAAC8F77866F0655A,CYC-B92A1EDB87595290EF06,2021-07-06,2021-07-07,BUY,56300,LIMIT,1.883,FILLED
ORD-A49C11E2CC2AD6F10CEE,DEC-C4E45177310DB2B77FF2,CYC-B92A1EDB87595290EF06,2021-07-07,2021-07-08,SELL,56300,MARKET,1.605,FILLED
ORD-95BA722A46228051AADC,DEC-DAAEEAE61BD2A377EE08,CYC-4444FEFFE4A667D120E7,2021-07-12,2021-07-13,BUY,55100,LIMIT,1.966,FILLED
ORD-D853813224B37A9E523D,DEC-5BDC4FB5BC9A7F9B8029,CYC-4444FEFFE4A667D120E7,2021-07-15,2021-07-16,SELL,55100,MARKET,1.598,FILLED
ORD-723A2BE9E256A0FEEDF7,DEC-D8A5EC7146AABC76E6D2,CYC-FB2773AD768DCEFD2736,2021-07-23,2021-07-26,BUY,55500,LIMIT,1.927,FILLED
ORD-2421548ABF7BEEB3AA49,DEC-9DE51B5CCF5C7B7AA134,CYC-FB2773AD768DCEFD2736,2021-07-29,2021-07-30,SELL,55500,MARKET,1.631,FILLED
ORD-15A1FB6A383D82170BD1,DEC-3E06368557921793788C,CYC-3BD7235AD68F716436AC,2021-08-06,2021-08-09,BUY,55400,LIMIT,1.954,FILLED
ORD-FF0B47578B2769AAE17A,DEC-C0254E992B35F85B19C0,CYC-3BD7235AD68F716436AC,2021-08-09,2021-08-10,SELL,55400,MARKET,1.612,FILLED
ORD-768E5D46D58892946EAF,DEC-E8FFEE52026A7B2CA4F5,CYC-5ECC4BAD8A53E58C71A1,2021-08-17,2021-08-18,BUY,57900,LIMIT,1.86,FILLED
ORD-9843F3A467C9F3E5D05A,DEC-756DCA49A366D92136B0,CYC-5ECC4BAD8A53E58C71A1,2021-08-18,2021-08-19,SELL,57900,MARKET,1.545,FILLED
ORD-6CFC43E2C99C1CBC6DE7,DEC-D1A316F65D2B298CFEDB,CYC-BE4C1DBF82D2D84E0910,2021-09-02,2021-09-03,BUY,62500,LIMIT,1.725,FILLED
ORD-0FB02C7DC624BB3BC063,DEC-C164670768EB89F01F4F,CYC-BE4C1DBF82D2D84E0910,2021-09-06,2021-09-07,SELL,62500,MARKET,1.471,FILLED
ORD-6BC16E8B27196B57234A,DEC-D015AB0FD3C7835A9070,CYC-08A67AB81FE09EA583A3,2021-09-08,2021-09-09,BUY,62900,LIMIT,1.737,FILLED
ORD-9CE0D694F67537B896CC,DEC-FBDF5A9ADC58C9DC95DD,CYC-08A67AB81FE09EA583A3,2021-09-09,2021-09-10,SELL,62900,MARKET,1.438,FILLED
ORD-CB4D065F96DD2CD34CB2,DEC-B3120BFFFCB1E9E8155A,CYC-DE2AD2D76DE05B7DAC8C,2021-11-02,2021-11-03,BUY,62800,LIMIT,1.731,FILLED
ORD-826D3D8B4A29EF9C1BFA,DEC-9699249BFD455A7FBA77,CYC-DE2AD2D76DE05B7DAC8C,2021-11-09,2021-11-10,SELL,62800,MARKET,1.457,FILLED
ORD-ED4C085F28132EB1C329,DEC-F9D95724DF489E482AEA,CYC-1D88FC62076B33D8A956,2021-11-15,2021-11-16,BUY,61800,LIMIT,1.76,FILLED
ORD-7257BE4AC8B6D4A334ED,DEC-8D7CD418C3106C294C74,CYC-1D88FC62076B33D8A956,2021-11-17,2021-11-18,SELL,61800,MARKET,1.473,FILLED
ORD-76C33C0875522FCC02BC,DEC-52F2C5BFDC0E6C685560,CYC-7F6E9B548739A79AD6C1,2021-11-24,2021-11-25,BUY,60100,LIMIT,1.809,FILLED
