date,signal_date,target_position,close,equity
2021-01-05,2021-01-04,1.0,1.452,100037.89314134142
2021-01-06,2021-01-05,1.0,1.443,99417.82355575461
2021-01-07,2021-01-06,1.0,1.412,97282.02831651109
2021-01-08,2021-01-07,1.0,1.409,97075.33845464882
2021-01-11,2021-01-08,1.0,1.421,97902.09790209793
2021-01-12,2021-01-11,1.0,1.434,98797.75397016777
2021-01-13,2021-01-12,1.0,1.438,99073.34045265081
2021-01-14,2021-01-13,1.0,1.477,101760.3086568604
2021-01-15,2021-01-14,1.0,1.479,101898.10189810192
2021-01-18,2021-01-15,1.0,1.509,103965.00051672467
2021-01-19,2021-01-18,1.0,1.477,101760.3086568604
2021-01-20,2021-01-19,1.0,1.51,104033.89713734543
2021-01-21,2021-01-20,1.0,1.512,104171.69037858695
2021-01-22,2021-01-21,1.0,1.517,104516.17348169074
2021-01-25,2021-01-22,1.0,1.527,105205.13968789832
2021-01-26,2021-01-25,1.0,1.505,103689.41403424164
2021-01-27,2021-01-26,1.0,1.489,102587.06810430951
2021-01-28,2021-01-27,1.0,1.452,100037.89314134142
2021-01-29,2021-01-28,1.0,1.452,100037.89314134142
2021-02-01,2021-01-29,1.0,1.452,100037.89314134142
2021-02-02,2021-02-01,1.0,1.467,101071.34245065282
2021-02-03,2021-02-02,1.0,1.443,99417.82355575461
2021-02-04,2021-02-03,1.0,1.421,97902.09790209793
2021-02-05,2021-02-04,1.0,1.402,96593.0621103035
2021-02-08,2021-02-05,1.0,1.411,97213.13169589033
2021-02-09,2021-02-08,1.0,1.457,100382.37624444523
2021-02-10,2021-02-09,1.0,1.467,101071.34245065282
2021-02-18,2021-02-10,1.0,1.461,100657.96272692826
2021-02-19,2021-02-18,1.0,1.455,100244.58300320372
2021-02-22,2021-02-19,1.0,1.42,97833.20128147716
2021-02-23,2021-02-22,1.0,1.42,97833.20128147716
2021-02-24,2021-02-23,1.0,1.398,96317.47562782046
2021-02-25,2021-02-24,1.0,1.382,95215.12969788833
2021-02-26,2021-02-25,1.0,1.356,93423.81756174861
2021-03-01,2021-02-26,1.0,1.389,95697.40604223365
2021-03-02,2021-03-01,1.0,1.383,95284.02631850909
2021-03-03,2021-03-02,1.0,1.388,95628.50942161288
2021-03-04,2021-03-03,1.0,1.357,93492.71418236937
2021-03-05,2021-03-04,1.0,1.361,93768.3006648524
2021-03-08,2021-03-05,1.0,1.304,89841.19328946917
2021-03-09,2021-03-08,1.0,1.263,87016.43184401807
2021-03-10,2021-03-09,1.0,1.265,87154.22508525958
2021-03-11,2021-03-10,1.0,1.295,89221.12370388233
2021-03-12,2021-03-11,1.0,1.288,88738.84735953703
2021-03-15,2021-03-12,1.0,1.25,86120.7757759482
2021-03-16,2021-03-15,1.0,1.245,85776.29267284441
2021-03-17,2021-03-16,1.0,1.26,86809.74198215579
2021-03-18,2021-03-17,1.0,1.267,87292.0183265011
2021-03-19,2021-03-18,1.0,1.255,86465.258879052
2021-03-22,2021-03-19,1.0,1.268,87360.91494712186
2021-03-23,2021-03-22,1.0,1.263,87016.43184401807
2021-03-24,2021-03-23,1.0,1.249,86051.87915532745
2021-03-25,2021-03-24,1.0,1.247,85914.08591408594
2021-03-26,2021-03-25,1.0,1.281,88256.57101519172
2021-03-29,2021-03-26,1.0,1.275,87843.19129146716
2021-03-30,2021-03-29,1.0,1.272,87636.50142960489
2021-03-31,2021-03-30,1.0,1.273,87705.39805022565
2021-04-01,2021-03-31,1.0,1.291,88945.5372213993
2021-04-02,2021-04-01,1.0,1.324,91219.12570188435
