date,signal_date,target_position,cash_before,quantity_before,cash,quantity,close,equity
2021-01-05,2021-01-04,0,100000.0,0,100000.0,0,1.452,100000.0
2021-01-06,2021-01-05,0,100000.0,0,100000.0,0,1.443,100000.0
2021-01-07,2021-01-06,0,100000.0,0,100000.0,0,1.412,100000.0
2021-01-08,2021-01-07,0,100000.0,0,100000.0,0,1.409,100000.0
2021-01-11,2021-01-08,0,100000.0,0,100000.0,0,1.421,100000.0
2021-01-12,2021-01-11,0,100000.0,0,100000.0,0,1.434,100000.0
2021-01-13,2021-01-12,0,100000.0,0,100000.0,0,1.438,100000.0
2021-01-14,2021-01-13,0,100000.0,0,100000.0,0,1.477,100000.0
2021-01-15,2021-01-14,0,100000.0,0,100000.0,0,1.479,100000.0
2021-01-18,2021-01-15,0,100000.0,0,100000.0,0,1.509,100000.0
2021-01-19,2021-01-18,0,100000.0,0,100000.0,0,1.477,100000.0
2021-01-20,2021-01-19,0,100000.0,0,100000.0,0,1.51,100000.0
2021-01-21,2021-01-20,0,100000.0,0,100000.0,0,1.512,100000.0
2021-01-22,2021-01-21,0,100000.0,0,100000.0,0,1.517,100000.0
2021-01-25,2021-01-22,0,100000.0,0,100000.0,0,1.527,100000.0
2021-01-26,2021-01-25,0,100000.0,0,100000.0,0,1.505,100000.0
2021-01-27,2021-01-26,0,100000.0,0,100000.0,0,1.489,100000.0
2021-01-28,2021-01-27,0,100000.0,0,100000.0,0,1.452,100000.0
2021-01-29,2021-01-28,0,100000.0,0,100000.0,0,1.452,100000.0
2021-02-01,2021-01-29,0,100000.0,0,100000.0,0,1.452,100000.0
2021-02-02,2021-02-01,0,100000.0,0,100000.0,0,1.467,100000.0
2021-02-03,2021-02-02,0,100000.0,0,100000.0,0,1.443,100000.0
2021-02-04,2021-02-03,0,100000.0,0,100000.0,0,1.421,100000.0
2021-02-05,2021-02-04,0,100000.0,0,100000.0,0,1.402,100000.0
2021-02-08,2021-02-05,0,100000.0,0,100000.0,0,1.411,100000.0
2021-02-09,2021-02-08,0,100000.0,0,100000.0,0,1.457,100000.0
2021-02-10,2021-02-09,0,100000.0,0,100000.0,0,1.467,100000.0
2021-02-18,2021-02-10,0,100000.0,0,100000.0,0,1.461,100000.0
2021-02-19,2021-02-18,0,100000.0,0,100000.0,0,1.455,100000.0
2021-02-22,2021-02-19,0,100000.0,0,100000.0,0,1.42,100000.0
2021-02-23,2021-02-22,0,100000.0,0,100000.0,0,1.42,100000.0
2021-02-24,2021-02-23,0,100000.0,0,100000.0,0,1.398,100000.0
2021-02-25,2021-02-24,0,100000.0,0,100000.0,0,1.382,100000.0
2021-02-26,2021-02-25,0,100000.0,0,100000.0,0,1.356,100000.0
2021-03-01,2021-02-26,0,100000.0,0,100000.0,0,1.389,100000.0
2021-03-02,2021-03-01,0,100000.0,0,100000.0,0,1.383,100000.0
2021-03-03,2021-03-02,0,100000.0,0,100000.0,0,1.388,100000.0
2021-03-04,2021-03-03,0,100000.0,0,100000.0,0,1.357,100000.0
