cycle_id,status,entry_date,exit_date,quantity,entry_price,exit_price,net_return
CYC-A291DCF51803560D402F,CLOSED,2021-03-09,2021-03-12,63800,1.304,1.297,-0.008347524725182187
CYC-4CB1E19349A84B408BB1,CLOSED,2021-03-24,2021-03-26,65400,1.259,1.251,-0.0093307219472617
CYC-B00E835C898D03EE719A,CLOSED,2021-04-06,2021-04-07,61900,1.327,1.32,-0.0082547617909986
CYC-CA8DABD7F1E5563D9960,CLOSED,2021-04-13,2021-04-15,64200,1.267,1.277,0.004873510570765793
CYC-8B4808924E6264C9384E,CLOSED,2021-04-21,2021-04-22,62100,1.311,1.312,-0.00223501513557256
CYC-468CAAD2420AF255797B,CLOSED,2021-04-27,2021-05-06,60900,1.34,1.346,0.0014686924836626591
CYC-B9AED0550240322CFF5C,CLOSED,2021-05-10,2021-05-12,63100,1.295,1.28,-0.01454382133363663
CYC-6356E76E21E40F779557,CLOSED,2021-05-18,2021-05-19,59700,1.356,1.345,-0.011083301301734738
CYC-FF13D3ADF42E4329ADF3,CLOSED,2021-05-27,2021-06-01,57500,1.385,1.47,0.05819249465152443
CYC-ADB8E00E85908872F4C4,CLOSED,2021-06-03,2021-06-07,57700,1.45,1.466,0.00800592215125584
CYC-653EA4395A7230DBA6D0,CLOSED,2021-06-08,2021-06-10,57700,1.464,1.457,-0.007762604726789579
CYC-EF663CDD9407D7D5CB59,CLOSED,2021-06-15,2021-06-18,57000,1.469,1.505,0.021437550957430496
CYC-7614D644C57BDD5B6BE0,CLOSED,2021-06-24,2021-06-28,54500,1.554,1.571,0.007911234820870305
CYC-C23F6591464FB66AEF05,CLOSED,2021-06-29,2021-07-01,53800,1.595,1.627,0.017007091244011896
CYC-013FAFA0F143C60A573B,CLOSED,2021-07-02,2021-07-06,54000,1.604,1.613,0.002598658122541897
CYC-10BF3F7ECE39DB6F83A7,CLOSED,2021-07-07,2021-07-08,55600,1.557,1.6020000000000003,0.025819652024853257
