capability_id,vendor_status,rows,earliest,latest,duplicate_date_rows,maximum_critical_null_rate,coverage_pass,vendor_interface,required_dataset,dfls_published,causality_rule,hypotheses
US_REAL_YIELD,PASS,2855,20130729,20241231,0,0.0,True,us_trycr,macro.us_real_yield_daily,False,use source date no later than prior China trading day,H01-REAL-RATE-OPPORTUNITY-COST
USDCNH,PASS,3506,20130729,20241231,0,0.0,True,fx_daily,fx.usdcnh_daily,False,GMT date and still-open market require at least one China trading day lag,H02-CURRENCY-TRANSLATION
SGE_GOLD,PASS,2781,20130729,20241231,0,0.0,True,sge_daily,metal.sge_gold_daily,False,use prior trading day until stable vendor publication time is governed,H02-CURRENCY-TRANSLATION | H04-STRATEGIC-FLOW-POSITIONING
ETF_SHARE,PASS,2781,20130729,20241231,0,0.0,True,etf_share_size,etf.share_size,True,T data published about T+1 08:30; T decision uses T-1 or earlier,H04-STRATEGIC-FLOW-POSITIONING
SHIBOR,PASS,2833,20130729,20241231,0,0.0,True,shibor,macro.shibor_daily,True,T value published around T 12:00 and can be used at T 20:30,H01-REAL-RATE-OPPORTUNITY-COST | H03-SAFE-HAVEN-RISK-APPETITE
DOMESTIC_INDEX_PRICE,PASS,2781,20130729,20241231,0,0.0,True,index_daily,index.domestic_daily,False,T close data can be used only after market close,H03-SAFE-HAVEN-RISK-APPETITE
DOMESTIC_INDEX_BASIC,PASS,2781,20130729,20241231,0,0.0,True,index_dailybasic,index.daily_basic,True,T close data can be used only after market close,H03-SAFE-HAVEN-RISK-APPETITE
CN_CPI,PASS,138,201307,202412,0,0.0,True,cn_cpi,macro.cn_cpi_monthly,False,reference month M becomes usable from first China session of M+2,H01-REAL-RATE-OPPORTUNITY-COST | H05-INFLATION-MONETARY-REGIME
CN_PPI,PASS,138,201307,202412,0,0.0,True,cn_ppi,macro.cn_ppi_monthly,False,reference month M becomes usable from first China session of M+2,H05-INFLATION-MONETARY-REGIME
CN_MONEY,PASS,138,201307,202412,0,0.0,True,cn_m,macro.cn_money_monthly,False,reference month M becomes usable from first China session of M+2,H05-INFLATION-MONETARY-REGIME
ETF_PRICE,MANAGED_EVIDENCE,2781,20130729,20241231,0,0.0,True,existing_managed_data,etf.ohlcv,True,managed,H06-PRICE-VOLATILITY-STATE
ETF_EXECUTION,MANAGED_EVIDENCE,2781,20130729,20241231,0,0.0,True,existing_managed_data,etf.unadjusted_daily,True,managed,H06-PRICE-VOLATILITY-STATE
