feature,path_id,hypothesis_id,information_family,financial_role,horizon_sessions,orientation,raw_primary_discovery_ic,discovery_observations,confirmation_observations,discovery_ic,confirmation_ic,confirmation_residual_ic,hac_coefficient,hac_one_sided_pvalue,positive_confirmation_years,annual_ics,top_minus_bottom_return,bootstrap_positive_probability,bootstrap_ic_lower_90,bootstrap_ic_median,bootstrap_ic_upper_90,identifiable,global_bh_qvalue,positive_horizon_count,evidence_label,evidence_rank
price_return_120d,price_return_120d:H20,H06-PRICE-VOLATILITY-STATE,TREND_MOMENTUM,ENTRY_TIMING,20,NEGATIVE,-0.2036238551024489,1184,1435,0.2036062513658878,0.070565202926728,0.2193449195270122,-0.0006069209217284,0.5781832194597307,6,"{""2019"": 0.4440392338303444, ""2020"": 0.07626909034087295, ""2021"": 0.2890220694355457, ""2022"": 0.5733716547437796, ""2023"": 0.1830430121383622, ""2024"": 0.41980124349412323}",0.005123993329415,0.815,-0.0680656313772287,0.0919086518590484,0.2490585733520745,True,0.9988325938924068,2,DIRECTIONALLY_STABLE,1
price_return_5d,price_return_5d:H20,H06-PRICE-VOLATILITY-STATE,TREND_MOMENTUM,ENTRY_TIMING,20,NEGATIVE,-0.0296782805577613,1299,1435,0.0296656637287268,0.0659016964893454,0.0470839627551681,0.0014572639701174,0.1903574263708458,5,"{""2019"": -0.13475593577769987, ""2020"": 0.12162429556420425, ""2021"": 0.11910675997232227, ""2022"": 0.11440260157500966, ""2023"": 0.35759112112809155, ""2024"": 0.10985348167270612}",0.0022238209818036,0.93,-0.0073738531989124,0.0706896329921679,0.1649406448795457,True,0.8016460631673649,3,DIRECTIONALLY_STABLE,1
price_trend_distance_20,price_trend_distance_20:H20,H06-PRICE-VOLATILITY-STATE,TREND_STATE,ENTRY_TIMING,20,NEGATIVE,-0.0845265658485226,1285,1435,0.0844944785933888,0.0376505975649306,0.010561095897789,-0.0002193741715332,0.5340862267179542,5,"{""2019"": -0.20839121126603438, ""2020"": 0.030534504406715946, ""2021"": 0.2227774483722574, ""2022"": 0.14565287339274458, ""2023"": 0.4401849702237974, ""2024"": 0.11287763654366507}",0.0013583896464689,0.745,-0.0661776752482816,0.0400986261396368,0.1592671246167427,True,0.9988325938924068,2,DIRECTIONALLY_STABLE,1
currency_usdcnh_return_20d,currency_usdcnh_return_20d:H20,H02-CURRENCY-TRANSLATION,CURRENCY_TRANSLATION,OPPORTUNITY,20,POSITIVE,0.1051483707848208,1283,1435,0.1051552638420661,0.1355242612098728,0.1277791370660151,0.0046016390829759,0.0421524646484873,4,"{""2019"": 0.22602440554860062, ""2020"": 0.22243247376309586, ""2021"": 0.3640958467335609, ""2022"": -0.031145232356546003, ""2023"": 0.19162660220176417, ""2024"": -0.26139010151008}",0.0105307750029312,0.955,0.0046857100403148,0.1394258782363634,0.2742090875570352,True,0.410730872810007,3,NOMINAL_SUPPORT,2
rate_shibor_overnight_level,rate_shibor_overnight_level:H20,H01-REAL-RATE-OPPORTUNITY-COST,DOMESTIC_LIQUIDITY,RISK_CONTEXT,20,NEGATIVE,-0.0841431318776401,1304,1435,0.0841823844946534,0.0853353121089752,0.0644878555292171,0.0019676594484306,0.281889311047814,4,"{""2019"": 0.1175318891088497, ""2020"": 0.18371659319737957, ""2021"": 0.19519209482346586, ""2022"": 0.07238059706782324, ""2023"": -0.11104209222068984, ""2024"": -0.16446567044832947}",0.0043249470285766,0.885,-0.0272733854288837,0.086460258480894,0.2140096328882094,True,0.9322638827107332,3,DIRECTIONALLY_STABLE,1
risk_sse_drawdown_60,risk_sse_drawdown_60:H20,H03-SAFE-HAVEN-RISK-APPETITE,EQUITY_STRESS,RISK_CONTEXT,20,NEGATIVE,-0.1302963353403963,1245,1435,0.1303090713603062,0.2081797499138206,0.1917206530836943,0.0055259037504411,0.0460231808948435,4,"{""2019"": 0.5217610126100424, ""2020"": 0.027778957938783214, ""2021"": 0.4899296349051995, ""2022"": -0.013182801783279772, ""2023"": -0.17415580715114945, ""2024"": 0.016992166694221093}",0.0168265537182476,0.995,0.0624927656445167,0.1992654258862976,0.3317294847076673,True,0.410730872810007,3,NOMINAL_SUPPORT,2
risk_sse_return_20d,risk_sse_return_20d:H20,H03-SAFE-HAVEN-RISK-APPETITE,EQUITY_RISK_APPETITE,RISK_CONTEXT,20,NEGATIVE,-0.1442752895329481,1284,1435,0.1444174064357209,0.1862614485504035,0.1779089725400293,0.0050133578696331,0.0502253491687721,4,"{""2019"": 0.40352923928582374, ""2020"": -0.19386198092845763, ""2021"": 0.35875510189686555, ""2022"": 0.37501479152813194, ""2023"": -0.1887654130735136, ""2024"": 0.09094840816568601}",0.0178079682765761,0.98,0.0531016051265299,0.1824921661170814,0.3018694073297261,True,0.4246021397921092,3,DIRECTIONALLY_STABLE,1
risk_sse_return_5d,risk_sse_return_5d:H20,H03-SAFE-HAVEN-RISK-APPETITE,EQUITY_RISK_APPETITE,RISK_CONTEXT,20,NEGATIVE,-0.0287990844067973,1299,1435,0.028778085059927,0.1302345483320531,0.1218900108961747,0.0037358379682713,0.0286082245301664,5,"{""2019"": 0.2179700664261096, ""2020"": 0.03164656209795575, ""2021"": 0.16731391411626087, ""2022"": 0.27263857743019226, ""2023"": 0.1853444106172773, ""2024"": -0.07888265052814519}",0.0122511578758678,0.995,0.0368266024651667,0.122436911572062,0.2051919921796259,True,0.3798498073424947,3,NOMINAL_SUPPORT,2
risk_sse_turnover_z20,risk_sse_turnover_z20:H20,H03-SAFE-HAVEN-RISK-APPETITE,LIQUIDITY_PRESSURE,RISK_CONTEXT,20,NEGATIVE,-0.1052735513920786,1285,1435,0.1052873659057175,0.1118473361741982,0.0938613060821746,0.0037640548224743,0.0408105800688286,5,"{""2019"": 0.19351816822716725, ""2020"": 0.025044236485150508, ""2021"": 0.21664406496805763, ""2022"": 0.2022571092946972, ""2023"": 0.04373458278157314, ""2024"": -0.03443269852510744}",0.0087362539829321,0.95,0.0002111521892732,0.1140059761782854,0.2215322525349078,True,0.410730872810007,3,NOMINAL_SUPPORT,2
macro_domestic_real_cash_proxy,macro_domestic_real_cash_proxy:H20,H05-INFLATION-MONETARY-REGIME,REAL_LIQUIDITY,RISK_CONTEXT,20,NEGATIVE,-0.0441843587948627,1279,1435,0.044099594133992,0.0398028591616455,0.0510583841232912,0.0018993299540813,0.2779620102323328,5,"{""2019"": 0.128454258971209, ""2020"": 0.24194499997392255, ""2021"": 0.00011503092961136593, ""2022"": 0.10535951987350087, ""2023"": 0.10282928702811106, ""2024"": -0.34154379490858244}",0.0021350753020611,0.7,-0.1024164342778645,0.0532234367726542,0.2135802871423108,True,0.9322638827107332,3,DIRECTIONALLY_STABLE,1
