cluster_id,member_count,members,representative,maximum_internal_absolute_correlation
C001,1,currency_usdcnh_return_20d,currency_usdcnh_return_20d,0.0
C002,1,macro_domestic_real_cash_proxy,macro_domestic_real_cash_proxy,0.0
C003,1,price_return_120d,price_return_120d,0.0
C004,1,price_return_5d,price_return_5d,0.0
C005,1,price_trend_distance_20,price_trend_distance_20,0.0
C006,1,price_volatility_ratio_20_60,price_volatility_ratio_20_60,0.0
C007,1,rate_shibor_overnight_level,rate_shibor_overnight_level,0.0
C008,1,risk_sse_drawdown_60,risk_sse_drawdown_60,0.0
C009,1,risk_sse_return_20d,risk_sse_return_20d,0.0
C010,1,risk_sse_return_5d,risk_sse_return_5d,0.0
C011,1,risk_sse_turnover_z20,risk_sse_turnover_z20,0.0
C012,2,tsfresh_log_volume_change_absolute_sum_of_changes_60 | tsfresh_log_volume_change_mean_abs_change_60,tsfresh_log_volume_change_absolute_sum_of_changes_60,1.0
C013,2,tsfresh_price_intraday_range_absolute_sum_of_changes_60 | tsfresh_price_intraday_range_mean_abs_change_60,tsfresh_price_intraday_range_mean_abs_change_60,1.0
