cluster_id,feature,representative,selected,reason,absolute_correlation_with_representative,hypothesis_id,information_family,financial_role,evidence_label,global_bh_qvalue,confirmation_residual_ic
C001,currency_usdcnh_return_20d,currency_usdcnh_return_20d,True,REPRESENTATIVE,1.0,H02-CURRENCY-TRANSLATION,CURRENCY_TRANSLATION,OPPORTUNITY,NOMINAL_SUPPORT,0.410730872810007,0.1277791370660151
C002,macro_domestic_real_cash_proxy,macro_domestic_real_cash_proxy,True,REPRESENTATIVE,1.0,H05-INFLATION-MONETARY-REGIME,REAL_LIQUIDITY,RISK_CONTEXT,DIRECTIONALLY_STABLE,0.9322638827107332,0.0510583841232912
C003,price_return_120d,price_return_120d,True,REPRESENTATIVE,1.0,H06-PRICE-VOLATILITY-STATE,TREND_MOMENTUM,ENTRY_TIMING,DIRECTIONALLY_STABLE,0.9988325938924068,0.2193449195270122
C004,price_return_5d,price_return_5d,True,REPRESENTATIVE,1.0,H06-PRICE-VOLATILITY-STATE,TREND_MOMENTUM,ENTRY_TIMING,DIRECTIONALLY_STABLE,0.8016460631673649,0.0470839627551681
C005,price_trend_distance_20,price_trend_distance_20,True,REPRESENTATIVE,1.0,H06-PRICE-VOLATILITY-STATE,TREND_STATE,ENTRY_TIMING,DIRECTIONALLY_STABLE,0.9988325938924068,0.010561095897789
C006,price_volatility_ratio_20_60,price_volatility_ratio_20_60,True,REPRESENTATIVE,1.0,H06-PRICE-VOLATILITY-STATE,VOLATILITY_STATE,RISK_CONTEXT,DIRECTIONALLY_STABLE,0.7128011263432446,0.1018618186141107
C007,rate_shibor_overnight_level,rate_shibor_overnight_level,True,REPRESENTATIVE,1.0,H01-REAL-RATE-OPPORTUNITY-COST,DOMESTIC_LIQUIDITY,RISK_CONTEXT,DIRECTIONALLY_STABLE,0.9322638827107332,0.0644878555292171
C008,risk_sse_drawdown_60,risk_sse_drawdown_60,True,REPRESENTATIVE,1.0,H03-SAFE-HAVEN-RISK-APPETITE,EQUITY_STRESS,RISK_CONTEXT,NOMINAL_SUPPORT,0.410730872810007,0.1917206530836943
C009,risk_sse_return_20d,risk_sse_return_20d,True,REPRESENTATIVE,1.0,H03-SAFE-HAVEN-RISK-APPETITE,EQUITY_RISK_APPETITE,RISK_CONTEXT,DIRECTIONALLY_STABLE,0.4246021397921092,0.1779089725400293
C010,risk_sse_return_5d,risk_sse_return_5d,True,REPRESENTATIVE,1.0,H03-SAFE-HAVEN-RISK-APPETITE,EQUITY_RISK_APPETITE,RISK_CONTEXT,NOMINAL_SUPPORT,0.3798498073424947,0.1218900108961747
C011,risk_sse_turnover_z20,risk_sse_turnover_z20,True,REPRESENTATIVE,1.0,H03-SAFE-HAVEN-RISK-APPETITE,LIQUIDITY_PRESSURE,RISK_CONTEXT,NOMINAL_SUPPORT,0.410730872810007,0.0938613060821746
C012,tsfresh_log_volume_change_absolute_sum_of_changes_60,tsfresh_log_volume_change_absolute_sum_of_changes_60,True,REPRESENTATIVE,1.0,H06-PRICE-VOLATILITY-STATE,TSFRESH_PROPOSAL,RISK_CONTEXT,DIRECTIONALLY_STABLE,0.9988325938924068,0.1043073679009409
C012,tsfresh_log_volume_change_mean_abs_change_60,tsfresh_log_volume_change_absolute_sum_of_changes_60,False,REDUNDANT_WITH_REPRESENTATIVE,1.0,H06-PRICE-VOLATILITY-STATE,TSFRESH_PROPOSAL,RISK_CONTEXT,DIRECTIONALLY_STABLE,0.9988325938924068,0.1043073679009409
C013,tsfresh_price_intraday_range_absolute_sum_of_changes_60,tsfresh_price_intraday_range_mean_abs_change_60,False,REDUNDANT_WITH_REPRESENTATIVE,1.0,H06-PRICE-VOLATILITY-STATE,TSFRESH_PROPOSAL,RISK_CONTEXT,DIRECTIONALLY_STABLE,0.6077397348657868,0.1664263750595726
C013,tsfresh_price_intraday_range_mean_abs_change_60,tsfresh_price_intraday_range_mean_abs_change_60,True,REPRESENTATIVE,1.0,H06-PRICE-VOLATILITY-STATE,TSFRESH_PROPOSAL,RISK_CONTEXT,DIRECTIONALLY_STABLE,0.6077397348657868,0.1664263750595726
