hypothesis_id,information_family,horizon_sessions,paths,identifiable,median_confirmation_ic,median_residual_ic,stable_paths,best_global_qvalue
H01-REAL-RATE-OPPORTUNITY-COST,DOMESTIC_LIQUIDITY,20,3,3,0.02469008861836929,0.05109027136987532,1,0.2157677847390258
H01-REAL-RATE-OPPORTUNITY-COST,DOMESTIC_LIQUIDITY,60,3,3,0.06500124908461634,0.08348358117372255,1,0.15027551010363227
H01-REAL-RATE-OPPORTUNITY-COST,REAL_RATE,20,7,7,0.1282846641167222,-0.00041596971647076474,2,0.008080578226170839
H01-REAL-RATE-OPPORTUNITY-COST,REAL_RATE,60,7,7,0.12645850627930996,0.0017228517440406419,0,0.00010116848500704476
H01-REAL-RATE-OPPORTUNITY-COST,REAL_RATE_CURVE,20,1,1,0.26844329508648135,0.11523141650719204,1,0.06716440451926797
H01-REAL-RATE-OPPORTUNITY-COST,REAL_RATE_CURVE,60,1,1,0.4460896645492336,0.21689223042904218,1,0.07129953900722875
H02-CURRENCY-TRANSLATION,CURRENCY_GOLD_INTERACTION,20,2,2,0.044914150166687386,0.007945507353947525,0,0.09557652735062822
H02-CURRENCY-TRANSLATION,CURRENCY_GOLD_INTERACTION,60,2,2,0.011578197764030245,0.01204453345834316,0,0.15027551010363227
H02-CURRENCY-TRANSLATION,CURRENCY_TRANSLATION,20,4,4,0.1000810826588787,0.0387801422053725,3,0.032909763690956724
H02-CURRENCY-TRANSLATION,CURRENCY_TRANSLATION,60,4,4,0.1454846972276557,0.08569473293572369,3,0.023727687451526765
H02-CURRENCY-TRANSLATION,GOLD_BENCHMARK,20,4,4,0.15635605518669043,0.01963433219191962,2,0.02393342662830653
H02-CURRENCY-TRANSLATION,GOLD_BENCHMARK,60,4,4,0.09405736185956769,0.032668691500578835,3,0.07486496200605042
H03-SAFE-HAVEN-RISK-APPETITE,EQUITY_RISK_APPETITE,20,4,4,0.1211577736337383,0.040052945727676356,3,0.023727687451526765
H03-SAFE-HAVEN-RISK-APPETITE,EQUITY_RISK_APPETITE,60,4,4,0.152491502540579,0.05587446425709878,3,0.020407437741489873
H03-SAFE-HAVEN-RISK-APPETITE,EQUITY_STRESS,20,2,2,0.10887312203678609,0.11254208338255396,1,0.09699530762825445
H03-SAFE-HAVEN-RISK-APPETITE,EQUITY_STRESS,60,2,2,0.1159699238763489,0.07336264703282701,1,0.15003976859794035
H03-SAFE-HAVEN-RISK-APPETITE,LIQUIDITY_PRESSURE,20,2,2,0.03025475799495629,0.030375713396757813,1,0.173975228861733
H03-SAFE-HAVEN-RISK-APPETITE,LIQUIDITY_PRESSURE,60,2,2,0.006795452663422633,0.003732270657898877,1,0.3135499518811111
H04-STRATEGIC-FLOW-POSITIONING,ETF_PRIMARY_FLOW,20,4,4,-0.028691418678247423,-0.04050246309979549,0,0.3175439677168939
H04-STRATEGIC-FLOW-POSITIONING,ETF_PRIMARY_FLOW,60,4,4,0.0287178236319577,0.007298833774774972,0,0.3401853078902106
H04-STRATEGIC-FLOW-POSITIONING,FLOW_PRICE_DIVERGENCE,20,1,1,-0.006162189561638446,-0.05352319917384106,0,0.8564778392964263
H04-STRATEGIC-FLOW-POSITIONING,FLOW_PRICE_DIVERGENCE,60,1,1,0.06904002972966128,0.0420230146249672,0,0.2157677847390258
H04-STRATEGIC-FLOW-POSITIONING,FLOW_PRICE_INTERACTION,20,1,1,-0.0627243312897576,0.0036203087008783645,0,0.9531956169364058
H04-STRATEGIC-FLOW-POSITIONING,FLOW_PRICE_INTERACTION,60,1,1,0.029719686579533475,0.04129912025898299,0,0.515646244333495
H04-STRATEGIC-FLOW-POSITIONING,GOLD_MARKET_FLOW,20,1,1,-0.0036290949370547513,0.00013841695720856776,0,0.515646244333495
H04-STRATEGIC-FLOW-POSITIONING,GOLD_MARKET_FLOW,60,1,1,-0.031707233176257,-0.04750538491467638,0,0.9211982728925056
H04-STRATEGIC-FLOW-POSITIONING,TRADING_FLOW,20,3,3,-0.14269976567596504,-0.11303019185866653,0,0.9990519464036532
H04-STRATEGIC-FLOW-POSITIONING,TRADING_FLOW,60,3,3,-0.02800258901570632,0.016944964122825812,0,0.9213941920338351
H05-INFLATION-MONETARY-REGIME,INFLATION_REGIME,20,1,1,0.062180945849648186,-0.010883802440672174,0,0.3216702977214061
H05-INFLATION-MONETARY-REGIME,INFLATION_REGIME,60,1,1,0.1844452464851868,0.1064161407317358,0,0.082336587287681
H05-INFLATION-MONETARY-REGIME,MACRO_IMPULSE,20,4,4,-0.010819580498079337,-0.008139638754469781,0,0.4101615576445051
H05-INFLATION-MONETARY-REGIME,MACRO_IMPULSE,60,4,4,0.03484091784617244,0.029331294849625947,0,0.0802861669584693
H05-INFLATION-MONETARY-REGIME,MACRO_REGIME,20,6,6,-0.03173952242476667,-0.02574384234473128,0,0.3648916904066066
H05-INFLATION-MONETARY-REGIME,MACRO_REGIME,60,6,6,-0.07844390371189691,-0.05676017416613272,0,0.2179563162974958
H05-INFLATION-MONETARY-REGIME,MONETARY_REGIME,20,2,2,-0.24275688526873962,-0.012448043474873407,0,0.9990519464036532
H05-INFLATION-MONETARY-REGIME,MONETARY_REGIME,60,2,2,-0.3739417996761707,-0.06816503226341357,0,0.9990519464036532
H05-INFLATION-MONETARY-REGIME,REAL_LIQUIDITY,20,1,1,0.051515201841079515,-0.06638598643319603,0,0.39715933789101415
H05-INFLATION-MONETARY-REGIME,REAL_LIQUIDITY,60,1,1,0.07902190684826396,-0.15433209593287225,0,0.24736858395486158
H06-PRICE-VOLATILITY-STATE,BREAKOUT_STATE,20,2,2,0.07106939801820689,-0.004237984210064988,0,0.3648916904066066
H06-PRICE-VOLATILITY-STATE,BREAKOUT_STATE,60,2,2,-0.016987099962590846,0.02444475368282574,0,0.8278938961890598
H06-PRICE-VOLATILITY-STATE,DRAWDOWN_STATE,20,2,2,0.010126024702837255,-0.006083505005207719,0,0.5187294564047057
H06-PRICE-VOLATILITY-STATE,DRAWDOWN_STATE,60,2,2,0.00025982299925945973,-0.01606867779447722,0,0.23427179769781245
H06-PRICE-VOLATILITY-STATE,TREND_MOMENTUM,20,4,4,0.19020949877226606,0.06750490198098755,3,0.04242972071052573
H06-PRICE-VOLATILITY-STATE,TREND_MOMENTUM,60,4,4,0.10117257684522221,0.06587802906470096,3,0.09378315464552457
H06-PRICE-VOLATILITY-STATE,TREND_QUALITY,20,2,2,0.194763666563897,0.11041681528154317,1,0.023727687451526765
H06-PRICE-VOLATILITY-STATE,TREND_QUALITY,60,2,2,0.07332667519438082,0.00041235126988291293,0,0.21964972861731932
H06-PRICE-VOLATILITY-STATE,TREND_STATE,20,3,3,0.21020669966093217,0.03194083320337014,2,0.06716440451926797
H06-PRICE-VOLATILITY-STATE,TREND_STATE,60,3,3,0.10555621828163643,0.0916246340503254,2,0.31035625702906977
H06-PRICE-VOLATILITY-STATE,TSFRESH_PROPOSAL,20,36,28,0.05913362237372391,0.05112906689420128,5,0.008080578226170839
H06-PRICE-VOLATILITY-STATE,TSFRESH_PROPOSAL,60,36,27,0.024577088700193928,0.08460518371839623,1,0.0021722652110212795
H06-PRICE-VOLATILITY-STATE,VOLATILITY_STATE,20,4,4,0.3181941010856082,0.092213498042318,2,0.00010116848500704476
H06-PRICE-VOLATILITY-STATE,VOLATILITY_STATE,60,4,4,0.2632317502648997,0.11770406372725742,1,0.0005972246728049403
H06-PRICE-VOLATILITY-STATE,VOLUME_LIQUIDITY,20,2,2,-0.11463522583730171,-0.09891485401471045,0,0.9990519464036532
H06-PRICE-VOLATILITY-STATE,VOLUME_LIQUIDITY,60,2,2,-0.0279081718876698,0.00565010181798121,0,0.9510109481136164
