path_id,feature,hypothesis_id,information_family,original_financial_role,audit_role,horizon_sessions,orientation,raw_primary_discovery_ic,discovery_observations,confirmation_observations,discovery_ic,confirmation_ic,confirmation_residual_ic,hac_coefficient,hac_one_sided_pvalue,positive_confirmation_years,annual_ics,top_minus_bottom_drawdown,bootstrap_positive_probability,bootstrap_ic_lower_90,bootstrap_ic_median,bootstrap_ic_upper_90,identifiable,global_bh_qvalue,positive_horizon_count,evidence_label
rate_shibor_overnight_level:DD60,rate_shibor_overnight_level,H01-REAL-RATE-OPPORTUNITY-COST,DOMESTIC_LIQUIDITY,RISK_CONTEXT,DRAWDOWN_RISK,60,POSITIVE,0.05848548945755146,1265,1396,0.0585040173907963,0.22475116196767675,0.16597680500415835,0.004274253055796866,0.050787556655394236,5,"{""2019"": 0.05878755570337986, ""2020"": 0.1834492648436826, ""2021"": -0.02521979913220091, ""2022"": 0.6193145578403513, ""2023"": 0.09183418259438031, ""2024"": 0.08000724307178045}",0.01353680630985405,0.995,0.05865278096964293,0.2289909559469781,0.3763553819551999,True,0.15027551010363227,2,DIRECTIONALLY_STABLE
risk_sse_drawdown_60:DD60,risk_sse_drawdown_60,H03-SAFE-HAVEN-RISK-APPETITE,EQUITY_STRESS,RISK_CONTEXT,DRAWDOWN_RISK,60,POSITIVE,0.11066675131264299,1206,1396,0.11066040460385379,0.1417139178719123,0.15485891323064527,0.004671835391362563,0.07603092955861541,4,"{""2019"": -0.004437548302534708, ""2020"": 0.3902961874846052, ""2021"": 0.1406107787796612, ""2022"": -0.22681747965319257, ""2023"": 0.034907676433940056, ""2024"": 0.12174315641442068}",0.011611418058503672,0.9,-0.06166000910475501,0.13417362976356914,0.29822922926424983,True,0.21328156863196013,2,DIRECTIONALLY_STABLE
price_trend_distance_20:DD60,price_trend_distance_20,H06-PRICE-VOLATILITY-STATE,TREND_STATE,ENTRY_TIMING,DRAWDOWN_RISK,60,POSITIVE,0.14029999856687503,1246,1396,0.1402792672866371,0.10555621828163643,0.030527235294324814,0.0030295209200021603,0.12356776900231481,6,"{""2019"": 0.25408272811953714, ""2020"": 0.14402019853595785, ""2021"": 0.3786377513937259, ""2022"": 0.002503818809932368, ""2023"": 0.26605459037566714, ""2024"": 0.3495386529750314}",0.008846966021019087,0.91,-0.019602525896129964,0.11753063574091083,0.24390813709775103,True,0.31035625702906977,2,DIRECTIONALLY_STABLE
risk_sse_turnover_z20:DD60,risk_sse_turnover_z20,H03-SAFE-HAVEN-RISK-APPETITE,LIQUIDITY_PRESSURE,RISK_CONTEXT,DRAWDOWN_RISK,60,POSITIVE,0.05727214738979764,1246,1396,0.05730546678501917,0.07390069591261862,0.05782843927604636,0.0026540983598776634,0.12919419313619857,5,"{""2019"": 0.17910082771150712, ""2020"": 0.22401687153631603, ""2021"": -0.2092010487593242, ""2022"": 0.17788175049107574, ""2023"": 0.05339484970681986, ""2024"": 0.11424844441209323}",0.008027607861631765,0.835,-0.04244724400349583,0.0833545362320985,0.1762953896317768,True,0.3135499518811111,2,DIRECTIONALLY_STABLE
price_return_20d:DD60,price_return_20d,H06-PRICE-VOLATILITY-STATE,TREND_MOMENTUM,ENTRY_TIMING,DRAWDOWN_RISK,60,POSITIVE,0.16738333795339091,1245,1396,0.16736595813052357,0.11372349961462107,0.008295500336928798,0.002579600583975699,0.20990001475377906,6,"{""2019"": 0.3123893330706148, ""2020"": 0.12747924583856102, ""2021"": 0.4027871203847534, ""2022"": 0.018770841494442157, ""2023"": 0.21394816098668823, ""2024"": 0.3152527192071383}",0.007466116802693996,0.895,-0.05336754959841537,0.12654565592481093,0.2670710160509477,True,0.44670658849856326,2,DIRECTIONALLY_STABLE
gold_sge_return_20d:DD60,gold_sge_return_20d,H02-CURRENCY-TRANSLATION,GOLD_BENCHMARK,CONFIRMATION,DRAWDOWN_RISK,60,POSITIVE,0.1636907109389071,1244,1396,0.163680357695706,0.10826012415478621,0.00959534239320703,0.0023500790434183238,0.23416872320533444,6,"{""2019"": 0.31932517033792235, ""2020"": 0.08654062172215778, ""2021"": 0.37973981331166645, ""2022"": 0.022492209468847064, ""2023"": 0.1822592572204114, ""2024"": 0.3120132598988445}",0.006436306244139552,0.875,-0.04294501536635888,0.11143955024791152,0.2505475674025861,True,0.4863504251187715,2,DIRECTIONALLY_STABLE
price_return_120d:DD60,price_return_120d,H06-PRICE-VOLATILITY-STATE,TREND_MOMENTUM,ENTRY_TIMING,DRAWDOWN_RISK,60,POSITIVE,0.16104860585185302,1145,1396,0.16105670533342265,0.16875488432349298,0.19949231891139618,0.0023333915456231254,0.27758509329194814,4,"{""2019"": 0.5537928267090251, ""2020"": -0.02432951013551522, ""2021"": -0.050048135341006196, ""2022"": 0.6652627989565131, ""2023"": 0.15305689228940111, ""2024"": 0.06028635631358535}",0.012516798491855281,0.885,-0.06175286650650844,0.19841749048942015,0.42919880692158513,True,0.5187294564047057,2,DIRECTIONALLY_STABLE
price_trend_distance_60:DD60,price_trend_distance_60,H06-PRICE-VOLATILITY-STATE,TREND_STATE,ENTRY_TIMING,DRAWDOWN_RISK,60,POSITIVE,0.22963573820737604,1206,1396,0.2296116516029214,0.12347831165354296,0.0916246340503254,0.0016563102037544177,0.33840909291476856,6,"{""2019"": 0.44291779229300315, ""2020"": 0.0668990787700989, ""2021"": 0.320617442975733, ""2022"": 0.2369581070461212, ""2023"": 0.1660176533074233, ""2024"": 0.4848389466746784}",0.005637632631578661,0.81,-0.08167050633529273,0.1313756550982025,0.35568496964304097,True,0.5942793826795936,2,DIRECTIONALLY_STABLE
gold_sge_trend_distance_60:DD60,gold_sge_trend_distance_60,H02-CURRENCY-TRANSLATION,GOLD_BENCHMARK,CONFIRMATION,DRAWDOWN_RISK,60,POSITIVE,0.22526528165813242,1205,1396,0.22524099238403747,0.11674205951496408,0.0859573777582326,0.0013237456628140403,0.37027764125737883,6,"{""2019"": 0.4298593040316933, ""2020"": 0.03224578345728078, ""2021"": 0.2813457870234148, ""2022"": 0.25788006504377975, ""2023"": 0.10229891598722259, ""2024"": 0.4622663423015326}",0.004205886813168899,0.855,-0.09563239960038934,0.14796903564360164,0.3260045902974875,True,0.6248435196218268,2,DIRECTIONALLY_STABLE
price_intraday_range:DD60,price_intraday_range,H06-PRICE-VOLATILITY-STATE,VOLATILITY_STATE,EXIT_RISK,DRAWDOWN_RISK,60,POSITIVE,0.36844404960773103,1265,1396,0.36845003504051066,0.22157525583914262,0.06478291054155495,0.006411711117219237,0.00031564075891326324,5,"{""2019"": 0.12073790591056827, ""2020"": -0.0817193537744787, ""2021"": 0.18757220876769273, ""2022"": 0.04094470253652591, ""2023"": 0.09493601163923038, ""2024"": 0.06413710263654958}",0.01663802293991929,1.0,0.10845279108407951,0.22079104836798477,0.3108759363119756,True,0.008080578226170839,2,FDR_SUPPORTED
