cluster_id,feature,representative,selected,reason,absolute_correlation_with_representative,hypothesis_id,information_family,audit_role,evidence_label,global_bh_qvalue,confirmation_residual_ic
R001,currency_usdcnh_return_1d,currency_usdcnh_return_1d,True,REPRESENTATIVE,1.0,H02-CURRENCY-TRANSLATION,CURRENCY_TRANSLATION,DRAWDOWN_RISK,FDR_SUPPORTED,0.0392058330569902,0.0478553909462398
R002,currency_usdcnh_return_20d,currency_usdcnh_return_20d,True,REPRESENTATIVE,1.0,H02-CURRENCY-TRANSLATION,CURRENCY_TRANSLATION,DRAWDOWN_RISK,FDR_SUPPORTED,0.0748521009081218,0.1528093640054046
R003,currency_usdcnh_return_5d,currency_usdcnh_return_5d,True,REPRESENTATIVE,1.0,H02-CURRENCY-TRANSLATION,CURRENCY_TRANSLATION,DRAWDOWN_RISK,FDR_SUPPORTED,0.0237276874515267,0.1235340749252075
R004,gold_sge_return_20d,price_return_20d,False,REDUNDANT_WITH_REPRESENTATIVE,0.9278425471712769,H02-CURRENCY-TRANSLATION,GOLD_BENCHMARK,DRAWDOWN_RISK,DIRECTIONALLY_STABLE,0.4863504251187715,0.009595342393207
R004,price_return_20d,price_return_20d,True,REPRESENTATIVE,1.0,H06-PRICE-VOLATILITY-STATE,TREND_MOMENTUM,DRAWDOWN_RISK,DIRECTIONALLY_STABLE,0.4467065884985632,0.0082955003369287
R005,gold_sge_return_5d,gold_sge_return_5d,True,REPRESENTATIVE,1.0,H02-CURRENCY-TRANSLATION,GOLD_BENCHMARK,DRAWDOWN_RISK,NOMINAL_SUPPORT,0.1343284364409379,0.0353610878091607
R006,gold_sge_trend_distance_60,price_trend_distance_60,False,REDUNDANT_WITH_REPRESENTATIVE,0.9646975893439818,H02-CURRENCY-TRANSLATION,GOLD_BENCHMARK,DRAWDOWN_RISK,DIRECTIONALLY_STABLE,0.6248435196218268,0.0859573777582326
R006,price_trend_distance_60,price_trend_distance_60,True,REPRESENTATIVE,1.0,H06-PRICE-VOLATILITY-STATE,TREND_STATE,DRAWDOWN_RISK,DIRECTIONALLY_STABLE,0.5942793826795936,0.0916246340503254
R007,price_intraday_range,price_intraday_range,True,REPRESENTATIVE,1.0,H06-PRICE-VOLATILITY-STATE,VOLATILITY_STATE,DRAWDOWN_RISK,FDR_SUPPORTED,0.0080805782261708,0.0647829105415549
R008,price_return_120d,price_return_120d,True,REPRESENTATIVE,1.0,H06-PRICE-VOLATILITY-STATE,TREND_MOMENTUM,DRAWDOWN_RISK,DIRECTIONALLY_STABLE,0.5187294564047057,0.1994923189113961
R009,price_return_5d,price_return_5d,True,REPRESENTATIVE,1.0,H06-PRICE-VOLATILITY-STATE,TREND_MOMENTUM,DRAWDOWN_RISK,FDR_SUPPORTED,0.0937831546455245,0.0485063856330087
R010,price_trend_distance_20,price_trend_distance_20,True,REPRESENTATIVE,1.0,H06-PRICE-VOLATILITY-STATE,TREND_STATE,DRAWDOWN_RISK,DIRECTIONALLY_STABLE,0.3103562570290697,0.0305272352943248
R011,rate_shibor_overnight_level,rate_shibor_overnight_level,True,REPRESENTATIVE,1.0,H01-REAL-RATE-OPPORTUNITY-COST,DOMESTIC_LIQUIDITY,DRAWDOWN_RISK,DIRECTIONALLY_STABLE,0.1502755101036322,0.1659768050041583
R012,rate_us_real_curve_10y_5y,rate_us_real_curve_10y_5y,True,REPRESENTATIVE,1.0,H01-REAL-RATE-OPPORTUNITY-COST,REAL_RATE_CURVE,DRAWDOWN_RISK,FDR_SUPPORTED,0.0712995390072287,0.2168922304290421
R013,risk_sse_drawdown_60,risk_sse_drawdown_60,True,REPRESENTATIVE,1.0,H03-SAFE-HAVEN-RISK-APPETITE,EQUITY_STRESS,DRAWDOWN_RISK,DIRECTIONALLY_STABLE,0.2132815686319601,0.1548589132306452
R014,risk_sse_return_1d,risk_sse_return_1d,True,REPRESENTATIVE,1.0,H03-SAFE-HAVEN-RISK-APPETITE,EQUITY_RISK_APPETITE,DRAWDOWN_RISK,FDR_SUPPORTED,0.0204074377414898,0.0557312333803268
R015,risk_sse_return_20d,risk_sse_return_20d,True,REPRESENTATIVE,1.0,H03-SAFE-HAVEN-RISK-APPETITE,EQUITY_RISK_APPETITE,DRAWDOWN_RISK,FDR_SUPPORTED,0.0748649620060504,0.1028128103713131
R016,risk_sse_return_5d,risk_sse_return_5d,True,REPRESENTATIVE,1.0,H03-SAFE-HAVEN-RISK-APPETITE,EQUITY_RISK_APPETITE,DRAWDOWN_RISK,FDR_SUPPORTED,0.036377375675121,0.0560176951338706
R017,risk_sse_turnover_z20,risk_sse_turnover_z20,True,REPRESENTATIVE,1.0,H03-SAFE-HAVEN-RISK-APPETITE,LIQUIDITY_PRESSURE,DRAWDOWN_RISK,DIRECTIONALLY_STABLE,0.3135499518811111,0.0578284392760463
R018,tsfresh_price_intraday_range_cid_ce_normalized_20,tsfresh_price_intraday_range_cid_ce_normalized_20,True,REPRESENTATIVE,1.0,H06-PRICE-VOLATILITY-STATE,TSFRESH_PROPOSAL,DRAWDOWN_RISK,FDR_SUPPORTED,0.0748649620060504,0.1180629027291947
