feature,path_id,hypothesis_id,information_family,original_financial_role,audit_role,horizon_sessions,orientation,raw_primary_discovery_ic,discovery_observations,confirmation_observations,discovery_ic,confirmation_ic,confirmation_residual_ic,hac_coefficient,hac_one_sided_pvalue,positive_confirmation_years,annual_ics,top_minus_bottom_drawdown,bootstrap_positive_probability,bootstrap_ic_lower_90,bootstrap_ic_median,bootstrap_ic_upper_90,identifiable,global_bh_qvalue,positive_horizon_count,evidence_label,evidence_rank
rate_shibor_overnight_level,rate_shibor_overnight_level:DD60,H01-REAL-RATE-OPPORTUNITY-COST,DOMESTIC_LIQUIDITY,RISK_CONTEXT,DRAWDOWN_RISK,60,POSITIVE,0.0584854894575514,1265,1396,0.0585040173907963,0.2247511619676767,0.1659768050041583,0.0042742530557968,0.0507875566553942,5,"{""2019"": 0.05878755570337986, ""2020"": 0.1834492648436826, ""2021"": -0.02521979913220091, ""2022"": 0.6193145578403513, ""2023"": 0.09183418259438031, ""2024"": 0.08000724307178045}",0.013536806309854,0.995,0.0586527809696429,0.2289909559469781,0.3763553819551999,True,0.1502755101036322,2,DIRECTIONALLY_STABLE,1
rate_us_real_curve_10y_5y,rate_us_real_curve_10y_5y:DD60,H01-REAL-RATE-OPPORTUNITY-COST,REAL_RATE_CURVE,RISK_CONTEXT,DRAWDOWN_RISK,60,POSITIVE,0.4809346838876503,1264,1396,0.4809484480188651,0.4460896645492336,0.2168922304290421,0.0078539864479425,0.0132036183346719,4,"{""2019"": -0.5501825084318334, ""2020"": 0.3486026430889803, ""2021"": 0.1907831449959587, ""2022"": 0.6236543267782239, ""2023"": -0.09100247964331393, ""2024"": 0.5112321952445901}",0.0187419554487679,1.0,0.2341032629999585,0.4576714011343823,0.5941379630623408,True,0.0712995390072287,2,FDR_SUPPORTED,3
currency_usdcnh_return_1d,currency_usdcnh_return_1d:DD60,H02-CURRENCY-TRANSLATION,CURRENCY_TRANSLATION,OPPORTUNITY,DRAWDOWN_RISK,60,NEGATIVE,-0.0448968096941077,1263,1396,0.0449025592494494,0.0845862753999056,0.0478553909462398,0.0026191319111839,0.0058082715639985,4,"{""2019"": -0.0031996444903592634, ""2020"": 0.06877617735397884, ""2021"": 0.09603023122224781, ""2022"": -0.0005804862255418761, ""2023"": 0.11088751644601234, ""2024"": 0.08938165953363954}",0.0068872565210548,1.0,0.0278651434902449,0.0783340679937421,0.1366952360566896,True,0.0392058330569902,2,FDR_SUPPORTED,3
currency_usdcnh_return_20d,currency_usdcnh_return_20d:DD60,H02-CURRENCY-TRANSLATION,CURRENCY_TRANSLATION,OPPORTUNITY,DRAWDOWN_RISK,60,NEGATIVE,-0.0885021490513843,1244,1396,0.0884801055126841,0.2667351809303228,0.1528093640054046,0.0082589574367761,0.0145545751765792,5,"{""2019"": -0.11586034166280854, ""2020"": 0.2537156439407163, ""2021"": 0.41410996650221477, ""2022"": 0.11354637794527622, ""2023"": 0.14530382061208338, ""2024"": 0.35912376661017537}",0.0206259521522623,0.98,0.0674423598147918,0.2744120596935132,0.4447905381621034,True,0.0748521009081218,2,FDR_SUPPORTED,3
currency_usdcnh_return_5d,currency_usdcnh_return_5d:DD60,H02-CURRENCY-TRANSLATION,CURRENCY_TRANSLATION,OPPORTUNITY,DRAWDOWN_RISK,60,NEGATIVE,-0.0573532486334603,1259,1396,0.0573838775802314,0.2063831190554057,0.1235340749252075,0.0059719704165308,0.0024791256119589,6,"{""2019"": 0.006409076686823336, ""2020"": 0.13478236102978025, ""2021"": 0.19578936168077687, ""2022"": 0.11444038984743934, ""2023"": 0.20711939692429487, ""2024"": 0.2609980550407337}",0.0163858214260248,0.995,0.0790400417543687,0.2067243855833068,0.3069426629809323,True,0.0237276874515267,2,FDR_SUPPORTED,3
gold_sge_return_5d,gold_sge_return_5d:DD60,H02-CURRENCY-TRANSLATION,GOLD_BENCHMARK,CONFIRMATION,DRAWDOWN_RISK,60,POSITIVE,0.0765842021313302,1259,1396,0.0765606148221681,0.0798545995643491,0.0353610878091607,0.0022285694663963,0.0416666909330687,6,"{""2019"": 0.10137555062817609, ""2020"": 0.12119528636216646, ""2021"": 0.214340914478929, ""2022"": 0.003517118121061303, ""2023"": 0.1925590887929475, ""2024"": 0.26838831801799146}",0.0077429445079513,0.955,0.0026047417868243,0.0802575188840071,0.1555598510994219,True,0.1343284364409379,2,NOMINAL_SUPPORT,2
risk_sse_return_1d,risk_sse_return_1d:DD60,H03-SAFE-HAVEN-RISK-APPETITE,EQUITY_RISK_APPETITE,RISK_CONTEXT,DRAWDOWN_RISK,60,POSITIVE,0.0591560131333363,1264,1396,0.0591362307644118,0.0744440979169417,0.0557312333803268,0.0023727891426299,0.0014171831764923,5,"{""2019"": 0.03825976780238859, ""2020"": 0.06609214268777053, ""2021"": -0.001990706737885867, ""2022"": 0.10346981891719256, ""2023"": 0.02395985444506586, ""2024"": 0.17597364121007178}",0.0057743450817166,1.0,0.0409930026694943,0.0735930960141978,0.1102515352330758,True,0.0204074377414898,2,FDR_SUPPORTED,3
risk_sse_return_20d,risk_sse_return_20d:DD60,H03-SAFE-HAVEN-RISK-APPETITE,EQUITY_RISK_APPETITE,RISK_CONTEXT,DRAWDOWN_RISK,60,POSITIVE,0.2407450242807932,1245,1396,0.2407208272767453,0.2017158746489812,0.1028128103713131,0.0060508701216599,0.0157892899224582,5,"{""2019"": -0.10782553972182489, ""2020"": 0.05697278753668415, ""2021"": 0.3381029003338553, ""2022"": 0.031558122085290366, ""2023"": 0.12788188693963495, ""2024"": 0.18392665471920222}",0.0156406763494135,0.985,0.0736405838746272,0.2045141427105332,0.3431518639382357,True,0.0748649620060504,2,FDR_SUPPORTED,3
risk_sse_return_5d,risk_sse_return_5d:DD60,H03-SAFE-HAVEN-RISK-APPETITE,EQUITY_RISK_APPETITE,RISK_CONTEXT,DRAWDOWN_RISK,60,POSITIVE,0.1049806973101247,1260,1396,0.1049850687114709,0.1172410533260314,0.0560176951338706,0.0034602118947177,0.0052208270644849,6,"{""2019"": 0.0261756853563776, ""2020"": 0.008451271397461352, ""2021"": 0.09111504826334513, ""2022"": 0.16604279288581097, ""2023"": 0.09039531772625002, ""2024"": 0.17684880569374656}",0.0114746275258129,0.99,0.0415237823169203,0.1194982576811138,0.183248473283672,True,0.036377375675121,2,FDR_SUPPORTED,3
risk_sse_drawdown_60,risk_sse_drawdown_60:DD60,H03-SAFE-HAVEN-RISK-APPETITE,EQUITY_STRESS,RISK_CONTEXT,DRAWDOWN_RISK,60,POSITIVE,0.1106667513126429,1206,1396,0.1106604046038537,0.1417139178719123,0.1548589132306452,0.0046718353913625,0.0760309295586154,4,"{""2019"": -0.004437548302534708, ""2020"": 0.3902961874846052, ""2021"": 0.1406107787796612, ""2022"": -0.22681747965319257, ""2023"": 0.034907676433940056, ""2024"": 0.12174315641442068}",0.0116114180585036,0.9,-0.061660009104755,0.1341736297635691,0.2982292292642498,True,0.2132815686319601,2,DIRECTIONALLY_STABLE,1
