cadence,cadence_sessions,maximum_entry_budget,dp_selected_entries,terminal_state,dp_terminal_wealth,primary_metrics_json,stress_metrics_json,annualized_return,maximum_drawdown_magnitude,calmar_ratio,exposure_ratio,entry_count,exit_count,positive_log_return_capture_ratio,negative_log_return_avoidance_ratio,annualized_return_gate_pass,maximum_drawdown_gate_pass,hard_qualified,behavior_sha256
DAILY,1,1,1,CASH,2826444.7729392378,"{""annualized_return"": 0.10880977057430163, ""calmar_ratio"": 0.5316620263105944, ""entry_count"": 1, ""exit_count"": 1, ""exposure_ratio"": 0.8852071005917159, ""maximum_drawdown_magnitude"": 0.20465966194609408, ""total_return"": 1.826444772939238}","{""annualized_return"": 0.10836895680458936, ""calmar_ratio"": 0.5295081393867104, ""entry_count"": 1, ""exit_count"": 1, ""exposure_ratio"": 0.8852071005917159, ""maximum_drawdown_magnitude"": 0.20465966194609397, ""total_return"": 1.8151615264906389}",0.10880977057430163,0.20465966194609408,0.5316620263105944,0.8852071005917159,1,1,0.9067848480945938,0.13657986401776123,False,False,False,fbe5f80dff097b0dc0331db4f26cb4a5c0560154c750d790a4ca38212f7d06a2
DAILY,1,2,2,CASH,3581526.0253412714,"{""annualized_return"": 0.13521719362322382, ""calmar_ratio"": 1.0716681835032096, ""entry_count"": 2, ""exit_count"": 2, ""exposure_ratio"": 0.8307692307692308, ""maximum_drawdown_magnitude"": 0.12617449664429536, ""total_return"": 2.5815260253412715}","{""annualized_return"": 0.13431474865651105, ""calmar_ratio"": 1.0645158271180923, ""entry_count"": 2, ""exit_count"": 2, ""exposure_ratio"": 0.8307692307692308, ""maximum_drawdown_magnitude"": 0.12617449664429536, ""total_return"": 2.5529879977871293}",0.13521719362322382,0.12617449664429536,1.0716681835032096,0.8307692307692308,2,2,0.8472248064198065,0.2394092215502951,True,True,True,1d102e0e1c648c9abfd90cfeb59174afcbb9deba117dcad16b1d7bd1a1f6ec51
DAILY,1,4,4,CASH,4719263.804692985,"{""annualized_return"": 0.16677921319269484, ""calmar_ratio"": 1.321813976899549, ""entry_count"": 4, ""exit_count"": 4, ""exposure_ratio"": 0.8074950690335305, ""maximum_drawdown_magnitude"": 0.12617449664429536, ""total_return"": 3.719263804692985}","{""annualized_return"": 0.1649248799261822, ""calmar_ratio"": 1.307117399414954, ""entry_count"": 4, ""exit_count"": 4, ""exposure_ratio"": 0.8074950690335305, ""maximum_drawdown_magnitude"": 0.12617449664429536, ""total_return"": 3.644356118735913}",0.16677921319269484,0.12617449664429536,1.321813976899549,0.8074950690335305,4,4,0.8513153519681881,0.276830389842747,True,True,True,a843d69672f3d5ffba1dd0e56c598a42ba4ab901006d1e98e20d1139e903a061
DAILY,1,6,6,CASH,5968678.280811894,"{""annualized_return"": 0.19434203479842527, ""calmar_ratio"": 2.0790279011547113, ""entry_count"": 6, ""exit_count"": 6, ""exposure_ratio"": 0.7648915187376726, ""maximum_drawdown_magnitude"": 0.09347735770668875, ""total_return"": 4.968678280811893}","{""annualized_return"": 0.19149595908425376, ""calmar_ratio"": 2.048581215625774, ""entry_count"": 6, ""exit_count"": 6, ""exposure_ratio"": 0.7648915187376726, ""maximum_drawdown_magnitude"": 0.09347735770668875, ""total_return"": 4.82713470567363}",0.19434203479842527,0.09347735770668875,2.0790279011547113,0.7648915187376726,6,6,0.8135274756733862,0.3551913084527428,True,True,True,875b07e50264c16934d5b36297e702ce0b871da51053a1b55cb9cd45bd4b25fa
DAILY,1,8,8,CASH,7257874.116974031,"{""annualized_return"": 0.2177877145844238, ""calmar_ratio"": 2.3385939834140674, ""entry_count"": 8, ""exit_count"": 8, ""exposure_ratio"": 0.6209072978303748, ""maximum_drawdown_magnitude"": 0.0931276297335204, ""total_return"": 6.257874116974031}","{""annualized_return"": 0.2139199908418976, ""calmar_ratio"": 2.2970625522631516, ""entry_count"": 8, ""exit_count"": 8, ""exposure_ratio"": 0.6209072978303748, ""maximum_drawdown_magnitude"": 0.09312762973352018, ""total_return"": 6.029297879456772}",0.2177877145844238,0.0931276297335204,2.3385939834140674,0.6209072978303748,8,8,0.7391531187839144,0.46879314268388483,True,True,True,fff94b774ed78fe696b64fe595718b8bca59587b23bcc0cb9773f71f2cf4c935
DAILY,1,12,12,CASH,9871720.744597424,"{""annualized_return"": 0.2555987885174198, ""calmar_ratio"": 4.5321829912833325, ""entry_count"": 12, ""exit_count"": 12, ""exposure_ratio"": 0.5877712031558185, ""maximum_drawdown_magnitude"": 0.056396396396396264, ""total_return"": 8.871720744597424}","{""annualized_return"": 0.24962182159077417, ""calmar_ratio"": 4.426201628845997, ""entry_count"": 12, ""exit_count"": 12, ""exposure_ratio"": 0.5877712031558185, ""maximum_drawdown_magnitude"": 0.056396396396396375, ""total_return"": 8.409068621172292}",0.2555987885174198,0.056396396396396264,4.5321829912833325,0.5877712031558185,12,12,0.7293092158337579,0.5272481616977152,True,True,True,6c3f075ff3edadd068e8b0e421e0e1ccbd920543f783d07930bc3678ddd55e9f
DAILY,1,18,18,CASH,13603417.113615407,"{""annualized_return"": 0.2962656234601737, ""calmar_ratio"": 5.84066514821484, ""entry_count"": 18, ""exit_count"": 18, ""exposure_ratio"": 0.5625246548323471, ""maximum_drawdown_magnitude"": 0.050724637681159535, ""total_return"": 12.603417113615407}","{""annualized_return"": 0.28702082025535214, ""calmar_ratio"": 5.658410456462644, ""entry_count"": 18, ""exit_count"": 18, ""exposure_ratio"": 0.5625246548323471, ""maximum_drawdown_magnitude"": 0.050724637681159535, ""total_return"": 11.658395963383803}",0.2962656234601737,0.050724637681159535,5.84066514821484,0.5625246548323471,18,18,0.7192953595540634,0.5884557839328761,True,True,True,52dc888650b0ddcb2b7308841858d806edfd15b0516a51da31cde235d2b9a241
DAILY,1,24,24,CASH,18201563.342607044,"{""annualized_return"": 0.334336120965794, ""calmar_ratio"": 6.765389741896071, ""entry_count"": 24, ""exit_count"": 24, ""exposure_ratio"": 0.5660749506903353, ""maximum_drawdown_magnitude"": 0.04941860465116277, ""total_return"": 17.201563342607045}","{""annualized_return"": 0.32166280404672243, ""calmar_ratio"": 6.508941446592519, ""entry_count"": 24, ""exit_count"": 24, ""exposure_ratio"": 0.5660749506903353, ""maximum_drawdown_magnitude"": 0.049418604651162656, ""total_return"": 15.535458454163159}",0.334336120965794,0.04941860465116277,6.765389741896071,0.5660749506903353,24,24,0.7391274489317559,0.6116766103290883,True,True,True,3c518fb6e48ac31e5dd0a71ae55654ec912e0ac3d74f9603b3bac7060c5a7a7b
DAILY,1,36,36,CASH,28199425.879719816,"{""annualized_return"": 0.3936890770934993, ""calmar_ratio"": 9.442572864227422, ""entry_count"": 36, ""exit_count"": 36, ""exposure_ratio"": 0.5944773175542406, ""maximum_drawdown_magnitude"": 0.04169298799747312, ""total_return"": 27.199425879719815}","{""annualized_return"": 0.3738807351584197, ""calmar_ratio"": 8.967472784178444, ""entry_count"": 36, ""exit_count"": 36, ""exposure_ratio"": 0.5944773175542406, ""maximum_drawdown_magnitude"": 0.04169298799747323, ""total_return"": 23.417522134929385}",0.3936890770934993,0.04169298799747312,9.442572864227422,0.5944773175542406,36,36,0.7895015528102477,0.624366054378881,True,True,True,50c79b9fc1c041beced7e4dfaa69aade33d0dbd5942235372cbecfa760482123
DAILY,1,52,52,CASH,44032041.614171736,"{""annualized_return"": 0.45681444148024775, ""calmar_ratio"": 12.436997097947524, ""entry_count"": 52, ""exit_count"": 52, ""exposure_ratio"": 0.5735700197238659, ""maximum_drawdown_magnitude"": 0.03673028447965432, ""total_return"": 43.03204161417174}","{""annualized_return"": 0.42700115781445414, ""calmar_ratio"": 11.62531583579152, ""entry_count"": 52, ""exit_count"": 52, ""exposure_ratio"": 0.5735700197238659, ""maximum_drawdown_magnitude"": 0.03673028447965443, ""total_return"": 34.763101805152914}",0.45681444148024775,0.03673028447965432,12.436997097947524,0.5735700197238659,52,52,0.8053630827788175,0.678242358352882,True,True,True,e30a616da2bbbd52cdbebfc90a3c23607fbcd7fb0cd292b67604c2139819f4fd
