segment_id,oracle_state,start,end,sessions,representative,strategy_exposure,state_agreement,segment_open_log_return,strategy_held_open_log_return
1,0,2014-07-31,2015-08-03,247,P01_COMPOSITE_GATE,0.4089068825910931,0.5910931174089069,-0.17398431535612618,0.07494639035385345
1,0,2014-07-31,2015-08-03,247,P02_REGIME_RECOVERY,0.39271255060728744,0.6072874493927125,-0.17398431535612618,0.013367054966719534
1,0,2014-07-31,2015-08-03,247,P03_SAFE_HAVEN_PULSE,0.4089068825910931,0.5910931174089069,-0.17398431535612618,-0.09370334596144789
1,0,2014-07-31,2015-08-03,247,P04_CORE_CARRY_DRAWDOWN_SHIELD,1.0,0.0,-0.17398431535612618,-0.17398431535612618
1,0,2014-07-31,2015-08-03,247,P05_TRANSLATION_LED,0.4777327935222672,0.5222672064777328,-0.17398431535612618,-0.09834063479011984
1,0,2014-07-31,2015-08-03,247,P05_RISK_OFF_LED,0.0,1.0,-0.17398431535612618,0.0
1,0,2014-07-31,2015-08-03,247,P06_CORE_CARRY_REGIME_VETO,0.4898785425101215,0.5101214574898786,-0.17398431535612618,-0.0069459903553518165
2,1,2015-08-04,2020-08-06,1220,P01_COMPOSITE_GATE,0.3360655737704918,0.3360655737704918,0.708253899526869,0.45533601394697193
2,1,2015-08-04,2020-08-06,1220,P02_REGIME_RECOVERY,0.5729508196721311,0.5729508196721311,0.708253899526869,0.5654597844104936
2,1,2015-08-04,2020-08-06,1220,P03_SAFE_HAVEN_PULSE,0.5631147540983606,0.5631147540983606,0.708253899526869,0.5114599430623467
2,1,2015-08-04,2020-08-06,1220,P04_CORE_CARRY_DRAWDOWN_SHIELD,0.9139344262295082,0.9139344262295082,0.708253899526869,0.6032569360910689
2,1,2015-08-04,2020-08-06,1220,P05_TRANSLATION_LED,0.6450819672131147,0.6450819672131147,0.708253899526869,0.6450469409419556
2,1,2015-08-04,2020-08-06,1220,P05_RISK_OFF_LED,0.9295081967213115,0.9295081967213115,0.708253899526869,0.49459382335347124
2,1,2015-08-04,2020-08-06,1220,P06_CORE_CARRY_REGIME_VETO,0.9483606557377049,0.9483606557377049,0.708253899526869,0.7038615059349531
3,0,2020-08-07,2021-03-04,138,P01_COMPOSITE_GATE,0.0,1.0,-0.2387693164013843,0.0
3,0,2020-08-07,2021-03-04,138,P02_REGIME_RECOVERY,0.0,1.0,-0.2387693164013843,0.0
3,0,2020-08-07,2021-03-04,138,P03_SAFE_HAVEN_PULSE,0.42028985507246375,0.5797101449275363,-0.2387693164013843,-0.14210203625850132
3,0,2020-08-07,2021-03-04,138,P04_CORE_CARRY_DRAWDOWN_SHIELD,0.47101449275362317,0.5289855072463768,-0.2387693164013843,-0.06962722461222912
3,0,2020-08-07,2021-03-04,138,P05_TRANSLATION_LED,0.11594202898550725,0.8840579710144928,-0.2387693164013843,-0.07739893731901037
3,0,2020-08-07,2021-03-04,138,P05_RISK_OFF_LED,0.0,1.0,-0.2387693164013843,0.0
3,0,2020-08-07,2021-03-04,138,P06_CORE_CARRY_REGIME_VETO,0.5434782608695652,0.45652173913043476,-0.2387693164013843,-0.2009391209729586
4,1,2021-03-05,2024-10-30,886,P01_COMPOSITE_GATE,0.4051918735891648,0.4051918735891648,0.5715350754561657,0.1706141760169978
4,1,2021-03-05,2024-10-30,886,P02_REGIME_RECOVERY,0.6839729119638827,0.6839729119638827,0.5715350754561657,0.5392750089497818
4,1,2021-03-05,2024-10-30,886,P03_SAFE_HAVEN_PULSE,0.554176072234763,0.554176072234763,0.5715350754561657,0.5555282732849751
4,1,2021-03-05,2024-10-30,886,P04_CORE_CARRY_DRAWDOWN_SHIELD,0.9548532731376975,0.9548532731376975,0.5715350754561657,0.5029679441138165
4,1,2021-03-05,2024-10-30,886,P05_TRANSLATION_LED,0.7663656884875847,0.7663656884875847,0.5715350754561657,0.5363858560132859
4,1,2021-03-05,2024-10-30,886,P05_RISK_OFF_LED,0.9604966139954854,0.9604966139954854,0.5715350754561657,0.5198236394855524
4,1,2021-03-05,2024-10-30,886,P06_CORE_CARRY_REGIME_VETO,1.0,1.0,0.5715350754561657,0.5715350754561657
5,0,2024-10-31,2024-12-31,44,P01_COMPOSITE_GATE,0.8636363636363636,0.13636363636363635,-0.03750232072876568,-0.0018582655909094763
5,0,2024-10-31,2024-12-31,44,P02_REGIME_RECOVERY,0.6818181818181818,0.3181818181818182,-0.03750232072876568,0.002370070518611675
5,0,2024-10-31,2024-12-31,44,P03_SAFE_HAVEN_PULSE,0.75,0.25,-0.03750232072876568,0.034928281747559464
5,0,2024-10-31,2024-12-31,44,P04_CORE_CARRY_DRAWDOWN_SHIELD,0.0,1.0,-0.03750232072876568,0.0
5,0,2024-10-31,2024-12-31,44,P05_TRANSLATION_LED,0.5909090909090909,0.4090909090909091,-0.03750232072876568,0.013448155691766356
5,0,2024-10-31,2024-12-31,44,P05_RISK_OFF_LED,1.0,0.0,-0.03750232072876568,-0.03750232072876568
5,0,2024-10-31,2024-12-31,44,P06_CORE_CARRY_REGIME_VETO,1.0,0.0,-0.03750232072876568,-0.03750232072876568
