oracle_transition_date,oracle_new_state,representative,strategy_state_on_transition,first_match_delay_sessions
2015-08-04,1,P01_COMPOSITE_GATE,1,0.0
2015-08-04,1,P02_REGIME_RECOVERY,1,0.0
2015-08-04,1,P03_SAFE_HAVEN_PULSE,1,0.0
2015-08-04,1,P04_CORE_CARRY_DRAWDOWN_SHIELD,1,0.0
2015-08-04,1,P05_TRANSLATION_LED,1,0.0
2015-08-04,1,P05_RISK_OFF_LED,0,7.0
2015-08-04,1,P06_CORE_CARRY_REGIME_VETO,1,0.0
2020-08-07,0,P01_COMPOSITE_GATE,0,0.0
2020-08-07,0,P02_REGIME_RECOVERY,0,0.0
2020-08-07,0,P03_SAFE_HAVEN_PULSE,0,0.0
2020-08-07,0,P04_CORE_CARRY_DRAWDOWN_SHIELD,0,0.0
2020-08-07,0,P05_TRANSLATION_LED,0,0.0
2020-08-07,0,P05_RISK_OFF_LED,0,0.0
2020-08-07,0,P06_CORE_CARRY_REGIME_VETO,1,68.0
2021-03-05,1,P01_COMPOSITE_GATE,0,70.0
2021-03-05,1,P02_REGIME_RECOVERY,0,5.0
2021-03-05,1,P03_SAFE_HAVEN_PULSE,1,0.0
2021-03-05,1,P04_CORE_CARRY_DRAWDOWN_SHIELD,1,0.0
2021-03-05,1,P05_TRANSLATION_LED,1,0.0
2021-03-05,1,P05_RISK_OFF_LED,0,35.0
2021-03-05,1,P06_CORE_CARRY_REGIME_VETO,1,0.0
2024-10-31,0,P01_COMPOSITE_GATE,0,0.0
2024-10-31,0,P02_REGIME_RECOVERY,0,0.0
2024-10-31,0,P03_SAFE_HAVEN_PULSE,0,0.0
2024-10-31,0,P04_CORE_CARRY_DRAWDOWN_SHIELD,0,0.0
2024-10-31,0,P05_TRANSLATION_LED,0,0.0
2024-10-31,0,P05_RISK_OFF_LED,1,
2024-10-31,0,P06_CORE_CARRY_REGIME_VETO,1,
