segment,feature,sge_observations,sge_ic,etf_observations,etf_ic
DISCOVERY_EARLY,gold_minus_silver_return_20,1138,0.11568631345782907,0,
DISCOVERY_EARLY,gold_silver_ratio_distance_120,1039,0.24828972217788162,0,
DISCOVERY_EARLY,rut_minus_spx_return_20,1138,-0.0899054870863632,0,
DISCOVERY_LATE,gold_minus_silver_return_20,1159,0.019195907748542372,0,
DISCOVERY_LATE,gold_silver_ratio_distance_120,1159,0.04208870308036917,0,
DISCOVERY_LATE,rut_minus_spx_return_20,1159,0.10162989546073978,0,
CONFIRMATION_EARLY,gold_minus_silver_return_20,1265,0.14797515029907937,1265,0.14353012326358164
CONFIRMATION_EARLY,gold_silver_ratio_distance_120,1265,0.2476033388639869,1265,0.24505815429333716
CONFIRMATION_EARLY,rut_minus_spx_return_20,1265,0.10470604533175264,1265,0.11430909729179442
CONFIRMATION_LATE,gold_minus_silver_return_20,1396,0.24138181040102635,1395,0.24199483118351736
CONFIRMATION_LATE,gold_silver_ratio_distance_120,1396,0.39065845369686747,1395,0.38769504983966463
CONFIRMATION_LATE,rut_minus_spx_return_20,1396,0.14658756624306027,1395,0.14539398884531424
